,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Chicago Bulls,15-2,8-1,7-1,11-1,4-1,7-1,4-0,,4-1,0-2,9-0,3-0,8-1,4-1
2,Los Angeles Lakers,12-7,7-4,5-3,1-4,11-3,,1-4,3-0,8-3,4-1,5-4,3-0,8-3,1-4
3,Portland Trail Blazers,9-7,8-1,1-6,,9-7,,,4-1,5-6,2-2,4-3,2-1,7-6,
4,Detroit Pistons,7-8,4-4,3-4,7-8,,4-2,3-6,,,,4-4,2-1,5-7,
5,Boston Celtics,5-6,3-3,2-3,5-6,,,5-6,,,1-1,1-2,1-1,4-5,
6,Golden State Warriors,4-5,2-2,2-3,,4-5,,,3-1,1-4,2-1,2-2,1-1,3-4,
7,Philadelphia 76ers,4-4,2-1,2-3,4-4,,,4-4,,,1-0,1-3,3-0,1-4,
8,Utah Jazz,4-5,3-1,1-4,,4-5,,,,4-5,0-2,1-2,2-1,2-4,
9,Atlanta Hawks,2-3,1-1,1-2,2-3,,,2-3,,,,1-3,1-2,1-1,
10,Indiana Pacers,2-3,1-1,1-2,2-3,,2-3,,,,1-1,1-0,1-1,1-2,
11,Seattle SuperSonics,2-3,2-0,0-3,,2-3,,,,2-3,1-0,1-1,1-2,1-1,
12,Phoenix Suns,1-3,1-1,0-2,,1-3,,,1-3,,,1-1,1-2,0-1,
13,San Antonio Spurs,1-3,1-1,0-2,,1-3,,,,1-3,0-1,0-2,1-1,0-2,
14,Houston Rockets,0-3,0-1,0-2,,0-3,,,,0-3,0-1,0-1,0-3,,
15,Milwaukee Bucks,0-3,0-2,0-1,0-3,,0-3,,,,,0-1,0-3,,
16,New York Knicks,0-3,0-1,0-2,0-3,,,0-3,,,,0-2,0-3,,
