,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Detroit Pistons,15-5,10-1,5-4,11-4,4-1,4-1,7-3,,4-1,2-1,9-1,2-0,8-3,5-2
2,Portland Trail Blazers,12-9,9-3,3-6,1-4,11-5,,1-4,7-3,4-2,5-2,3-6,2-0,9-5,1-4
3,Chicago Bulls,10-6,8-0,2-6,10-6,,4-1,6-5,,,,6-2,2-0,7-5,1-1
4,Phoenix Suns,9-7,5-2,4-5,,9-7,,,3-2,6-5,3-3,6-3,1-1,8-6,
5,San Antonio Spurs,6-4,5-0,1-4,,6-4,,,3-0,3-4,0-1,5-2,2-0,4-4,
6,Los Angeles Lakers,4-5,3-2,1-3,,4-5,,,3-1,1-4,0-2,3-2,2-0,2-5,
7,New York Knicks,4-6,3-1,1-5,4-6,,3-2,1-4,,,1-0,1-5,0-2,4-4,
8,Philadelphia 76ers,4-6,4-1,0-5,4-6,,,4-6,,,,1-5,2-0,2-6,
9,Boston Celtics,2-3,2-1,0-2,2-3,,2-3,,,,0-1,2-1,2-0,0-3,
10,Cleveland Cavaliers,2-3,2-0,0-3,2-3,,2-3,,,,,2-1,0-2,2-1,
11,Utah Jazz,2-3,1-2,1-1,,2-3,,,,2-3,0-1,2-2,1-1,1-2,
12,Houston Rockets,1-3,1-1,0-2,,1-3,,,,1-3,,0-2,0-2,1-1,
13,Milwaukee Bucks,1-3,1-1,0-2,1-3,,,1-3,,,,0-2,0-2,1-1,
14,Dallas Mavericks,0-3,0-1,0-2,,0-3,,,,0-3,,0-1,0-2,0-1,
15,Denver Nuggets,0-3,0-1,0-2,,0-3,,,0-3,,,0-2,0-2,0-1,
16,Indiana Pacers,0-3,0-1,0-2,0-3,,,0-3,,,,0-3,0-2,0-1,
