,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Boston Celtics,15-3,10-0,5-3,11-1,4-2,,11-1,4-2,,1-1,11-2,5-0,8-1,2-2
2,Houston Rockets,13-7,9-1,4-6,2-4,11-3,2-4,,7-2,4-1,2-3,7-4,5-0,6-5,2-2
3,Los Angeles Lakers,8-6,6-2,2-4,,8-6,,,8-6,,1-3,6-2,5-0,3-6,
4,Milwaukee Bucks,7-7,5-3,2-4,7-7,,7-7,,,,1-0,3-4,3-1,4-6,
5,Philadelphia 76ers,6-6,4-2,2-4,6-6,,3-2,3-4,,,0-2,2-1,4-2,2-4,
6,Dallas Mavericks,5-5,4-1,1-4,,5-5,,,3-1,2-4,2-2,0-2,3-3,2-2,
7,Denver Nuggets,5-5,3-2,2-3,,5-5,,,2-4,3-1,2-1,1-2,3-3,2-2,
8,Atlanta Hawks,4-5,3-1,1-4,4-5,,1-4,3-1,,,1-0,3-3,3-3,1-2,
9,Washington Bullets,2-3,1-1,1-2,2-3,,2-3,,,,1-0,0-1,2-3,,
10,Detroit Pistons,1-3,1-1,0-2,1-3,,,1-3,,,0-1,0-2,1-3,,
11,Portland Trail Blazers,1-3,0-2,1-1,,1-3,,,1-3,,1-0,0-1,1-3,,
12,Utah Jazz,1-3,1-1,0-2,,1-3,,,1-3,,1-0,,1-3,,
13,Chicago Bulls,0-3,0-1,0-2,0-3,,0-3,,,,,0-2,0-3,,
14,New Jersey Nets,0-3,0-1,0-2,0-3,,,0-3,,,,0-2,0-3,,
15,Sacramento Kings,0-3,0-1,0-2,,0-3,,,0-3,,,0-2,0-3,,
16,San Antonio Spurs,0-3,0-1,0-2,,0-3,,,,0-3,,0-3,0-3,,
