,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,San Antonio Spurs,16-8,8-4,8-4,4-2,12-6,4-2,,4-2,8-4,2-5,10-2,3-2,9-4,4-2
2,New Jersey Nets,14-6,7-3,7-3,12-2,2-4,4-0,8-2,2-4,,5-1,5-3,3-2,9-0,2-4
3,Dallas Mavericks,10-10,6-5,4-5,,10-10,,,2-4,8-6,1-0,7-7,3-2,7-8,
4,Detroit Pistons,8-9,6-3,2-6,8-9,,8-9,,,,1-2,5-4,2-3,6-6,
5,Sacramento Kings,7-5,5-1,2-4,,7-5,,,7-5,,0-1,5-3,4-1,3-4,
6,Los Angeles Lakers,6-6,4-2,2-4,,6-6,,,6-6,,0-1,4-3,3-2,3-4,
7,Philadelphia 76ers,6-6,4-2,2-4,6-6,,,6-6,,,0-2,2-2,3-2,3-4,
8,Boston Celtics,4-6,3-2,1-4,4-6,,0-4,4-2,,,1-0,3-2,3-2,1-4,
9,Orlando Magic,3-4,2-1,1-3,3-4,,,3-4,,,,0-4,3-2,0-2,
10,Portland Trail Blazers,3-4,2-1,1-3,,3-4,,,3-4,,,2-3,2-3,1-1,
11,Indiana Pacers,2-4,2-1,0-3,2-4,,2-4,,,,0-1,1-3,2-3,0-1,
12,Milwaukee Bucks,2-4,1-2,1-2,2-4,,2-4,,,,1-1,0-2,2-3,0-1,
13,Minnesota Timberwolves,2-4,1-2,1-2,,2-4,,,,2-4,,1-3,2-3,0-1,
14,New Orleans Hornets,2-4,1-2,1-2,2-4,,2-4,,,,1-0,1-0,2-3,0-1,
15,Phoenix Suns,2-4,1-2,1-2,,2-4,,,2-4,,2-1,0-2,2-3,0-1,
16,Utah Jazz,1-4,1-1,0-3,,1-4,,,,1-4,1-0,0-3,1-4,,
