,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Los Angeles Lakers,15-9,12-2,3-7,4-3,11-6,,4-3,11-6,,4-1,11-6,1-0,9-5,5-4
2,Detroit Pistons,14-9,9-3,5-6,11-5,3-4,7-4,4-1,,3-4,1-4,7-3,2-0,7-5,5-4
3,Dallas Mavericks,10-7,6-2,4-5,,10-7,,,7-3,3-4,2-1,6-6,1-1,8-5,1-1
4,Boston Celtics,9-8,6-3,3-5,9-8,,3-1,6-7,,,3-0,3-1,1-0,8-6,0-2
5,Atlanta Hawks,6-6,5-1,1-5,6-6,,3-4,3-2,,,1-2,2-1,1-0,5-6,
6,Utah Jazz,6-5,4-1,2-4,,6-5,,,,6-5,0-1,2-4,1-1,5-4,
7,Denver Nuggets,5-6,3-3,2-3,,5-6,,,2-4,3-2,2-0,3-4,1-0,4-6,
8,Chicago Bulls,4-6,3-2,1-4,4-6,,,4-6,,,,2-3,1-0,3-6,
9,Cleveland Cavaliers,2-3,2-0,0-3,2-3,,,2-3,,,,0-1,0-1,2-2,
10,Milwaukee Bucks,2-3,2-0,0-3,2-3,,,2-3,,,0-1,0-1,0-1,2-2,
11,Seattle SuperSonics,2-3,1-1,1-2,,2-3,,,2-3,,0-1,2-2,0-1,2-2,
12,Washington Bullets,2-3,2-0,0-3,2-3,,,2-3,,,1-1,0-1,0-2,2-1,
13,Houston Rockets,1-3,0-2,1-1,,1-3,,,1-3,,0-1,1-2,1-1,0-2,
14,New York Knicks,1-3,1-1,0-2,1-3,,1-3,,,,,0-2,0-1,1-2,
15,Portland Trail Blazers,1-3,1-1,0-2,,1-3,,,1-3,,,1-1,1-1,0-2,
16,San Antonio Spurs,0-3,0-1,0-2,,0-3,,,,0-3,0-1,0-2,0-1,0-2,
