,,,Place,Place,Division,Division,Margin,Margin,Month,Month
Rk,Team,Overall,Home,Road,E,W,≤3,≥10,Mar,Apr
1,Boston Celtics,8-5,4-3,4-2,4-3,4-2,3-1,3-2,1-2,7-3
2,Cincinnati Royals,6-6,3-2,3-4,6-6,,1-1,2-3,5-3,1-3
3,Los Angeles Lakers,6-7,5-2,1-5,2-4,4-3,1-3,3-2,1-0,5-7
4,St. Louis Hawks,6-5,5-0,1-5,,6-5,0-1,4-2,3-2,3-3
5,Syracuse Nationals,2-3,2-1,0-2,2-3,,1-0,0-1,2-3,
6,Detroit Pistons,1-3,1-1,0-2,,1-3,,0-2,1-3,
