,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Seattle SuperSonics,12-5,8-1,4-4,4-1,8-4,4-1,,,8-4,3-1,4-1,4-1,7-4,1-0
2,Phoenix Suns,9-6,7-1,2-5,,9-6,,,4-1,5-5,1-1,5-2,6-2,3-4,
3,Washington Bullets,9-10,6-5,3-5,8-6,1-4,,8-6,,1-4,3-2,3-5,4-3,5-6,0-1
4,San Antonio Spurs,7-7,5-2,2-5,7-7,,7-7,,,,4-2,3-2,3-3,4-4,
5,Atlanta Hawks,5-4,2-2,3-2,5-4,,3-4,2-0,,,1-1,1-2,5-4,,
6,Philadelphia 76ers,5-4,3-1,2-3,5-4,,2-0,3-4,,,1-3,2-1,5-3,0-1,
7,Los Angeles Lakers,3-5,2-1,1-4,,3-5,,,2-1,1-4,1-1,1-1,3-5,,
8,Denver Nuggets,1-2,1-1,0-1,,1-2,,,,1-2,0-1,0-1,1-2,,
9,Kansas City Kings,1-4,1-1,0-3,,1-4,,,,1-4,0-1,1-3,1-4,,
10,Portland Trail Blazers,1-2,1-0,0-2,,1-2,,,,1-2,,0-1,1-2,,
11,Houston Rockets,0-2,0-1,0-1,0-2,,,0-2,,,0-1,,0-2,,
12,New Jersey Nets,0-2,0-1,0-1,0-2,,0-2,,,,,0-1,0-2,,
