,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May
1,Golden State Warriors,12-5,7-2,5-3,4-0,8-5,,4-0,4-3,4-2,2-2,4-2,5-3,7-2
2,Washington Bullets,8-9,6-3,2-6,8-5,0-4,8-5,,,0-4,0-2,5-2,6-3,2-6
3,Chicago Bulls,7-6,5-1,2-5,,7-6,,,4-2,3-4,2-0,3-2,5-3,2-3
4,Boston Celtics,6-5,5-1,1-4,6-5,,,6-5,,,,4-3,4-3,2-2
5,Seattle SuperSonics,4-5,3-2,1-3,,4-5,,,2-1,2-4,1-0,2-3,4-5,
6,Buffalo Braves,3-4,2-1,1-3,3-4,,,3-4,,,,1-3,3-4,
7,Houston Rockets,3-5,3-1,0-4,3-5,,3-5,,,,,3-4,3-5,
8,Kansas City-Omaha Kings,2-4,2-1,0-3,,2-4,,,2-4,,0-1,0-2,2-4,
9,Detroit Pistons,1-2,1-0,0-2,,1-2,,,,1-2,,1-1,1-2,
10,New York Knicks,1-2,1-0,0-2,1-2,,,1-2,,,,1-2,1-2,
