,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Chicago Bulls,15-7,9-3,6-4,11-5,4-2,7-3,4-2,,4-2,,8-4,3-0,8-5,4-2
2,Portland Trail Blazers,13-8,9-2,4-6,2-4,11-4,,2-4,4-2,7-2,2-1,7-3,2-1,9-3,2-4
3,Cleveland Cavaliers,9-8,6-3,3-5,9-8,,7-4,2-4,,,1-1,6-3,3-1,6-7,
4,Utah Jazz,9-7,8-1,1-6,,9-7,,,,9-7,,3-3,2-1,7-6,
5,Boston Celtics,6-4,4-1,2-3,6-4,,,6-4,,,1-1,2-3,3-0,3-4,
6,New York Knicks,6-6,4-2,2-4,6-6,,,6-6,,,1-1,2-1,2-1,4-5,
7,Phoenix Suns,4-4,3-1,1-3,,4-4,,,3-0,1-4,0-2,1-1,3-0,1-4,
8,Seattle SuperSonics,4-5,3-1,1-4,,4-5,,,1-4,3-1,2-0,0-2,3-1,1-4,
9,Detroit Pistons,2-3,1-1,1-2,2-3,,2-3,,,,1-1,0-1,1-2,1-1,
10,Los Angeles Clippers,2-3,2-0,0-3,,2-3,,,2-3,,,1-2,1-2,1-1,
11,Golden State Warriors,1-3,1-1,0-2,,1-3,,,,1-3,0-2,1-0,1-3,,
12,Los Angeles Lakers,1-3,1-1,0-2,,1-3,,,,1-3,1-0,0-3,1-2,0-1,
13,New Jersey Nets,1-3,1-1,0-2,1-3,,,1-3,,,,0-1,1-3,,
14,Indiana Pacers,0-3,0-1,0-2,0-3,,0-3,,,,,0-1,0-3,,
15,Miami Heat,0-3,0-1,0-2,0-3,,,0-3,,,,0-2,0-3,,
16,San Antonio Spurs,0-3,0-1,0-2,,0-3,,,,0-3,,0-1,0-3,,
