,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Los Angeles Lakers,15-4,8-2,7-2,4-0,11-4,4-0,,4-1,7-3,4-2,2-1,3-0,7-4,5-0
2,New Jersey Nets,11-9,7-4,4-5,11-5,0-4,4-2,7-3,,0-4,2-1,5-3,2-2,9-3,0-4
3,Sacramento Kings,10-6,5-4,5-2,,10-6,,,7-2,3-4,4-1,3-0,3-1,7-4,0-1
4,Boston Celtics,9-7,6-2,3-5,9-7,,5-6,4-1,,,1-2,3-2,2-1,7-6,
5,Charlotte Hornets,4-5,2-2,2-3,4-5,,4-5,,,,1-0,3-2,3-1,1-4,
6,Dallas Mavericks,4-4,2-2,2-2,,4-4,,,3-0,1-4,0-1,2-2,3-0,1-4,
7,Detroit Pistons,4-6,4-2,0-4,4-6,,1-4,3-2,,,1-1,2-2,2-2,2-4,
8,San Antonio Spurs,4-6,2-3,2-3,,4-6,,,,4-6,1-1,3-2,2-1,2-5,
9,Indiana Pacers,2-3,1-1,1-2,2-3,,2-3,,,,0-1,1-2,2-2,0-1,
10,Philadelphia 76ers,2-3,2-0,0-3,2-3,,2-3,,,,1-0,0-2,1-2,1-1,
11,Seattle SuperSonics,2-3,1-1,1-2,,2-3,,,2-3,,,1-3,1-2,1-1,
12,Toronto Raptors,2-3,2-0,0-3,2-3,,,2-3,,,0-1,1-1,2-2,0-1,
13,Orlando Magic,1-3,0-2,1-1,1-3,,,1-3,,,0-1,0-2,1-3,,
14,Utah Jazz,1-3,0-2,1-1,,1-3,,,,1-3,0-2,,1-3,,
15,Minnesota Timberwolves,0-3,0-1,0-2,,0-3,,,0-3,,,0-2,0-3,,
16,Portland Trail Blazers,0-3,0-1,0-2,,0-3,,,,0-3,0-1,,0-3,,
