,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Boston Celtics,12-6,9-0,3-6,8-4,4-2,4-2,4-2,,4-2,1-2,4-1,3-2,7-3,2-1
2,Phoenix Suns,10-9,7-2,3-7,2-4,8-5,2-4,,,8-5,2-2,3-4,4-2,5-5,1-2
3,Golden State Warriors,7-6,4-3,3-3,,7-6,,,4-2,3-4,1-1,5-1,4-2,3-4,
4,Cleveland Cavaliers,6-7,5-2,1-5,6-7,,2-4,4-3,,,3-0,2-2,4-3,2-4,
5,Buffalo Braves,4-5,2-2,2-3,4-5,,4-5,,,,2-0,0-2,4-4,0-1,
6,Detroit Pistons,4-5,2-2,2-3,,4-5,,,2-1,2-4,2-2,1-3,4-5,,
7,Washington Bullets,3-4,2-1,1-3,3-4,,,3-4,,,0-3,1-1,3-4,,
8,Seattle SuperSonics,2-4,2-1,0-3,,2-4,,,,2-4,1-0,0-3,2-4,,
9,Milwaukee Bucks,1-2,1-1,0-1,,1-2,,,1-2,,1-2,,1-2,,
10,Philadelphia 76ers,1-2,0-2,1-0,1-2,,1-2,,,,0-1,1-0,1-2,,
