,,,Place,Place,Division,Division,Margin,Margin,Month,Month
Rk,Team,Overall,Home,Road,E,W,≤3,≥10,Mar,Apr
1,Boston Celtics,8-3,6-0,2-3,4-3,4-0,1-1,5-2,3-3,5-0
2,Minneapolis Lakers,6-7,5-2,1-5,0-4,6-3,3-1,2-5,6-3,0-4
3,Syracuse Nationals,5-4,4-0,1-4,5-4,,1-0,3-3,5-3,0-1
4,St. Louis Hawks,2-4,2-1,0-3,,2-4,0-2,2-1,2-4,
5,Detroit Pistons,1-2,1-0,0-2,,1-2,0-1,1-1,1-2,
6,New York Knicks,0-2,0-1,0-1,0-2,,,0-1,0-2,
