,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Portland Trail Blazers,14-5,10-0,4-5,4-2,10-3,4-2,,6-3,4-0,3-1,5-2,5-2,7-3,2-0
2,Philadelphia 76ers,10-9,7-3,3-6,8-5,2-4,4-3,4-2,,2-4,1-3,5-3,3-3,7-4,0-2
3,Houston Rockets,6-6,3-3,3-3,6-6,,2-4,4-2,,,1-2,1-3,3-2,3-4,
4,Boston Celtics,5-4,3-1,2-3,5-4,,3-4,2-0,,,1-0,1-2,5-3,0-1,
5,Golden State Warriors,5-5,4-1,1-4,,5-5,,,2-1,3-4,,2-1,4-4,1-1,
6,Los Angeles Lakers,4-7,4-2,0-5,,4-7,,,,4-7,0-1,1-2,3-2,1-5,
7,Washington Bullets,4-5,3-2,1-3,4-5,,,4-5,,,1-0,1-0,4-4,0-1,
8,Denver Nuggets,2-4,2-1,0-3,,2-4,,,,2-4,0-1,1-1,1-3,1-1,
9,Chicago Bulls,1-2,1-0,0-2,,1-2,,,,1-2,1-0,0-1,1-2,,
10,Cleveland Cavaliers,1-2,1-0,0-2,1-2,,,1-2,,,,,1-2,,
11,Detroit Pistons,1-2,0-1,1-1,,1-2,,,,1-2,,0-1,1-2,,
12,San Antonio Spurs,0-2,0-1,0-1,0-2,,0-2,,,,,0-1,0-2,,
