,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Chicago Bulls,15-6,10-2,5-4,11-4,4-2,3-0,8-4,4-2,,2-6,6-0,3-0,8-4,4-2
2,Utah Jazz,13-7,8-3,5-4,2-4,11-3,,2-4,7-3,4-0,4-1,6-3,1-2,10-1,2-4
3,Indiana Pacers,10-6,8-0,2-6,10-6,,4-1,6-5,,,3-0,4-1,3-1,7-5,
4,Los Angeles Lakers,7-6,4-2,3-4,,7-6,,,0-4,7-2,1-0,5-3,3-1,4-5,
5,Charlotte Hornets,4-5,2-2,2-3,4-5,,,4-5,,,1-0,1-4,2-1,2-4,
6,New York Knicks,4-6,2-2,2-4,4-6,,3-2,1-4,,,,2-4,2-2,2-4,
7,San Antonio Spurs,4-5,3-1,1-4,,4-5,,,1-4,3-1,0-2,3-1,3-1,1-4,
8,Seattle SuperSonics,4-6,3-3,1-3,,4-6,,,3-2,1-4,,3-4,2-2,2-4,
9,Houston Rockets,2-3,1-1,1-2,,2-3,,,2-3,,,1-3,2-1,0-2,
10,Miami Heat,2-3,1-2,1-1,2-3,,2-3,,,,,1-2,2-2,0-1,
11,Minnesota Timberwolves,2-3,1-1,1-2,,2-3,,,,2-3,,0-2,2-2,0-1,
12,Atlanta Hawks,1-3,1-1,0-2,1-3,,,1-3,,,,1-1,1-2,0-1,
13,Cleveland Cavaliers,1-3,1-1,0-2,1-3,,,1-3,,,,0-1,1-3,,
14,Phoenix Suns,1-3,1-1,0-2,,1-3,,,1-3,,,0-2,1-3,,
15,Portland Trail Blazers,1-3,1-1,0-2,,1-3,,,,1-3,0-1,0-1,1-3,,
16,New Jersey Nets,0-3,0-1,0-2,0-3,,,0-3,,,0-1,0-1,0-3,,
