,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Mar,Apr,May
1,Boston Celtics,12-5,7-2,5-3,8-3,4-2,4-3,4-0,4-2,,4-3,5-1,,6-3,6-2
2,Houston Rockets,12-9,4-5,8-4,2-4,10-5,2-4,,8-4,2-1,2-2,3-4,,10-5,2-4
3,Philadelphia 76ers,9-7,6-2,3-5,9-7,,3-4,6-3,,,4-3,4-4,1-0,8-5,0-2
4,Kansas City Kings,7-8,3-4,4-4,,7-8,,,1-4,6-4,2-0,0-4,,7-8,
5,Milwaukee Bucks,3-4,2-1,1-3,3-4,,3-4,,,,0-2,3-1,,3-4,
6,Phoenix Suns,3-4,2-2,1-2,,3-4,,,3-4,,0-1,2-0,,3-4,
7,San Antonio Spurs,3-4,1-3,2-1,,3-4,,,3-4,,1-0,1-1,,3-4,
8,Chicago Bulls,2-4,1-2,1-2,2-4,,2-4,,,,1-0,1-1,1-0,1-4,
9,Los Angeles Lakers,1-2,0-2,1-0,,1-2,,,1-2,,0-1,,,1-2,
10,Portland Trail Blazers,1-2,0-2,1-0,,1-2,,,1-2,,0-1,,,1-2,
11,Indiana Pacers,0-2,0-1,0-1,0-2,,0-2,,,,,0-2,0-1,0-1,
12,New York Knicks,0-2,0-1,0-1,0-2,,,0-2,,,0-1,0-1,0-1,0-1,
