,,,Place,Place,Division,Division,Margin,Margin,Month,Month
Rk,Team,Overall,Home,Road,E,W,≤3,≥10,Mar,Apr
1,Boston Celtics,11-6,5-4,6-2,7-3,4-3,1-0,5-0,2-2,9-4
2,Los Angeles Lakers,7-7,4-3,3-4,3-4,4-3,0-1,2-3,,7-7
3,St. Louis Hawks,6-4,3-1,3-3,,6-4,1-0,1-2,3-0,3-4
4,Cincinnati Royals,2-3,0-2,2-1,2-3,,,0-1,2-2,0-1
5,Philadelphia 76ers,1-4,1-2,0-2,1-4,,,0-2,,1-4
6,Baltimore Bullets,0-3,0-2,0-1,,0-3,0-1,,0-3,
