,,,Place,Place,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,≤3,≥10,Mar,Apr,May
1,New York Knicks,12-7,9-2,3-5,8-4,4-3,3-1,6-3,2-2,8-3,2-2
2,Los Angeles Lakers,11-7,7-2,4-5,3-4,8-3,2-1,7-5,1-1,8-4,2-2
3,Milwaukee Bucks,5-5,3-2,2-3,5-5,,0-1,1-2,2-1,3-4,
4,Atlanta Hawks,4-5,3-2,1-3,,4-5,0-1,2-3,3-0,1-5,
5,Baltimore Bullets,3-4,2-1,1-3,3-4,,0-1,2-2,2-2,1-2,
6,Phoenix Suns,3-4,2-1,1-3,,3-4,,3-4,1-1,2-3,
7,Chicago Bulls,1-4,1-1,0-3,,1-4,,1-2,0-3,1-1,
8,Philadelphia 76ers,1-4,0-2,1-2,1-4,,,0-1,1-2,0-2,
