,,,Place,Place,Division,Division,Margin,Margin,Month,Month
Rk,Team,Overall,Home,Road,E,W,≤3,≥10,Mar,Apr
1,Boston Celtics,8-5,5-2,3-3,4-2,4-3,1-1,5-3,5-3,3-2
2,St. Louis Hawks,7-7,4-3,3-4,3-4,4-3,1-1,5-4,5-4,2-3
3,Minneapolis Lakers,5-4,2-2,3-2,,5-4,2-0,1-3,5-4,
4,Philadelphia Warriors,4-5,3-2,1-3,4-5,,0-1,3-1,4-5,
5,Syracuse Nationals,1-2,1-0,0-2,1-2,,,0-2,1-2,
6,Detroit Pistons,0-2,0-1,0-1,,0-2,0-1,0-1,0-2,
