,,,Place,Place,Division,Division,Margin,Margin,Month,Month
Rk,Team,Overall,Home,Road,E,W,≤3,≥10,Mar,Apr
1,Boston Celtics,8-4,7-0,1-4,4-3,4-1,1-1,5-1,,8-4
2,Philadelphia 76ers,6-5,4-1,2-4,6-5,,2-2,1-2,3-1,3-4
3,Baltimore Bullets,5-5,4-1,1-4,,5-5,2-2,1-1,3-1,2-4
4,Los Angeles Lakers,5-6,4-1,1-5,1-4,4-2,2-1,1-3,,5-6
5,Cincinnati Royals,1-3,0-2,1-1,1-3,,1-1,0-1,1-3,
6,St. Louis Hawks,1-3,1-1,0-2,,1-3,0-1,1-1,1-3,
