,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Houston Rockets,15-8,10-3,5-5,4-3,11-5,4-3,,4-1,7-4,3-1,8-1,1-0,10-5,4-3
2,New York Knicks,14-11,11-2,3-9,11-7,3-4,3-1,8-6,3-4,,1-3,5-3,1-0,8-6,5-5
3,Indiana Pacers,10-6,6-1,4-5,10-6,,6-4,4-2,,,2-0,6-4,2-0,7-4,1-2
4,Utah Jazz,8-8,6-2,2-6,,8-8,,,8-8,,1-3,4-3,1-1,7-7,
5,Chicago Bulls,6-4,5-0,1-4,6-4,,3-4,3-0,,,2-1,2-1,1-0,5-4,
6,Denver Nuggets,6-6,4-1,2-5,,6-6,,,3-4,3-2,2-1,1-4,0-2,6-4,
7,Phoenix Suns,6-4,3-2,3-2,,6-4,,,3-4,3-0,,1-4,1-0,5-4,
8,Atlanta Hawks,5-6,4-2,1-4,5-6,,3-2,2-4,,,,5-4,1-1,4-5,
9,Miami Heat,2-3,1-1,1-2,2-3,,,2-3,,,,0-3,1-1,1-2,
10,Seattle SuperSonics,2-3,2-1,0-2,,2-3,,,2-3,,,2-1,2-0,0-3,
11,New Jersey Nets,1-3,1-1,0-2,1-3,,1-3,,,,1-0,0-2,0-1,1-2,
12,Portland Trail Blazers,1-3,1-1,0-2,,1-3,,,1-3,,1-1,0-2,0-1,1-2,
13,San Antonio Spurs,1-3,1-1,0-2,,1-3,,,1-3,,,1-2,1-1,0-2,
14,Cleveland Cavaliers,0-3,0-1,0-2,0-3,,,0-3,,,0-1,,0-1,0-2,
15,Golden State Warriors,0-3,0-1,0-2,,0-3,,,,0-3,,,0-1,0-2,
16,Orlando Magic,0-3,0-2,0-1,0-3,,,0-3,,,0-2,0-1,0-2,0-1,
