,,,Place,Place,Division,Division,Margin,Margin,Month,Month
Rk,Team,Overall,Home,Road,E,W,≤3,≥10,Mar,Apr
1,Boston Celtics,8-6,6-2,2-4,4-3,4-3,2-1,6-1,2-2,6-4
2,Los Angeles Lakers,7-6,3-3,4-3,3-4,4-2,1-2,2-3,3-2,4-4
3,Philadelphia Warriors,6-6,5-1,1-5,6-6,,0-2,3-3,5-4,1-2
4,Detroit Pistons,5-5,3-2,2-3,,5-5,3-0,1-3,5-4,0-1
5,Syracuse Nationals,2-3,1-1,1-2,2-3,,1-0,0-2,2-3,
6,Cincinnati Royals,1-3,1-1,0-2,,1-3,0-2,1-1,1-3,
