,,,Place,Place,Division,Division,Margin,Margin,Month,Month
Rk,Team,Overall,Home,Road,E,W,≤3,≥10,Mar,Apr
1,Philadelphia 76ers,11-4,6-2,5-2,7-2,4-2,1-0,8-0,4-1,7-3
2,San Francisco Warriors,9-6,6-2,3-4,2-4,7-2,1-1,3-2,4-0,5-6
3,St. Louis Hawks,5-4,4-1,1-3,,5-4,0-1,2-1,3-1,2-3
4,Boston Celtics,4-5,2-2,2-3,4-5,,,1-4,3-2,1-3
5,Cincinnati Royals,1-3,0-2,1-1,1-3,,,0-3,1-3,
6,New York Knicks,1-3,0-2,1-1,1-3,,,1-1,1-3,
7,Chicago Bulls,0-3,0-1,0-2,,0-3,,0-2,0-3,
8,Los Angeles Lakers,0-3,0-1,0-2,,0-3,,0-2,0-3,
