,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Los Angeles Lakers,15-3,10-0,5-3,4-2,11-1,4-2,,3-0,8-1,2-0,10-1,3-0,8-1,4-2
2,Boston Celtics,13-10,11-2,2-8,11-6,2-4,,11-6,,2-4,4-1,4-6,3-0,8-6,2-4
3,Detroit Pistons,10-5,7-0,3-5,10-5,,6-4,4-1,,,3-2,4-2,3-0,7-5,
4,Seattle SuperSonics,7-7,4-3,3-4,,7-7,,,7-3,0-4,3-1,3-3,3-1,4-6,
5,Milwaukee Bucks,6-6,4-2,2-4,6-6,,6-6,,,,2-3,2-1,2-1,4-5,
6,Houston Rockets,5-5,3-2,2-3,,5-5,,,,5-5,0-2,3-2,3-1,2-4,
7,Atlanta Hawks,4-5,3-2,1-3,4-5,,,4-5,,,1-2,2-0,2-1,2-4,
8,Golden State Warriors,4-6,3-1,1-5,,4-6,,,3-2,1-4,0-1,1-4,1-2,3-4,
9,Philadelphia 76ers,2-3,1-1,1-2,2-3,,,2-3,,,1-2,0-1,1-2,1-1,
10,Utah Jazz,2-3,2-1,0-2,,2-3,,,,2-3,1-0,1-1,2-1,0-2,
11,Dallas Mavericks,1-3,1-1,0-2,,1-3,,,,1-3,0-1,1-2,1-3,,
12,Indiana Pacers,1-3,1-1,0-2,1-3,,,1-3,,,0-1,0-1,1-2,0-1,
13,Portland Trail Blazers,1-3,1-1,0-2,,1-3,,,1-3,,,1-2,1-3,,
14,Chicago Bulls,0-3,0-1,0-2,0-3,,0-3,,,,,0-1,0-3,,
15,Denver Nuggets,0-3,0-1,0-2,,0-3,,,,0-3,,0-3,0-3,,
16,Washington Bullets,0-3,0-1,0-2,0-3,,,0-3,,,0-1,0-2,0-3,,
