,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,May,Jun
1,San Antonio Spurs,15-2,7-1,8-1,4-1,11-1,4-1,,3-1,8-0,3-0,8-0,9-1,6-1
2,New York Knicks,12-8,6-4,6-4,11-4,1-4,3-2,8-2,1-4,,3-2,4-5,8-2,4-6
3,Indiana Pacers,9-4,5-2,4-2,9-4,,6-4,3-0,,,4-2,3-0,7-1,2-3
4,Portland Trail Blazers,7-6,5-2,2-4,,7-6,,,4-6,3-0,1-1,5-4,7-4,0-2
5,Utah Jazz,5-6,4-2,1-4,,5-6,,,,5-6,1-2,3-3,5-6,
6,Atlanta Hawks,3-6,3-2,0-4,3-6,,0-4,3-2,,,,3-4,3-6,
7,Los Angeles Lakers,3-5,2-2,1-3,,3-5,,,3-5,,1-1,2-3,3-5,
8,Philadelphia 76ers,3-5,2-2,1-3,3-5,,3-1,0-4,,,0-2,3-2,3-5,
9,Detroit Pistons,2-3,2-0,0-3,2-3,,,2-3,,,,2-3,2-3,
10,Miami Heat,2-3,1-2,1-1,2-3,,2-3,,,,0-1,2-2,2-3,
11,Sacramento Kings,2-3,1-1,1-2,,2-3,,,2-3,,1-1,1-1,2-3,
12,Houston Rockets,1-3,1-1,0-2,,1-3,,,,1-3,0-1,1-2,1-3,
13,Minnesota Timberwolves,1-3,0-2,1-1,,1-3,,,1-3,,,0-2,1-3,
14,Orlando Magic,1-3,1-1,0-2,1-3,,1-3,,,,,1-3,1-3,
15,Milwaukee Bucks,0-3,0-1,0-2,0-3,,,0-3,,,0-1,0-1,0-3,
16,Phoenix Suns,0-3,0-1,0-2,,0-3,,,,0-3,,0-3,0-3,
