,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Chicago Bulls,15-3,10-0,5-3,11-1,4-2,11-1,,,4-2,1-1,10-2,2-0,9-1,4-2
2,Seattle SuperSonics,13-8,8-3,5-5,2-4,11-4,,2-4,8-3,3-1,2-1,6-5,2-1,8-3,3-4
3,Utah Jazz,10-8,8-1,2-7,,10-8,,,4-2,6-6,1-2,8-3,2-1,8-6,0-1
4,Orlando Magic,7-5,5-2,2-3,7-5,,,7-5,,,1-0,4-2,3-0,4-5,
5,San Antonio Spurs,5-5,4-1,1-4,,5-5,,,2-4,3-1,0-1,4-4,2-0,3-5,
6,Atlanta Hawks,4-6,2-2,2-4,4-6,,1-4,3-2,,,1-0,1-2,2-1,2-5,
7,New York Knicks,4-4,2-1,2-3,4-4,,,4-4,,,1-1,1-2,2-0,2-4,
8,Houston Rockets,3-5,2-2,1-3,,3-5,,,,3-5,0-1,0-2,2-1,1-4,
9,Indiana Pacers,2-3,1-2,1-1,2-3,,,2-3,,,0-1,0-1,1-2,1-1,
10,Portland Trail Blazers,2-3,2-0,0-3,,2-3,,,2-3,,1-0,0-2,1-2,1-1,
11,Los Angeles Lakers,1-3,1-1,0-2,,1-3,,,1-3,,,1-0,1-2,0-1,
12,Phoenix Suns,1-3,1-1,0-2,,1-3,,,1-3,,1-0,0-2,0-2,1-1,
13,Sacramento Kings,1-3,0-2,1-1,,1-3,,,,1-3,,0-2,1-2,0-1,
14,Cleveland Cavaliers,0-3,0-2,0-1,0-3,,0-3,,,,,0-1,0-2,0-1,
15,Detroit Pistons,0-3,0-1,0-2,0-3,,0-3,,,,0-1,0-2,0-3,,
16,Miami Heat,0-3,0-1,0-2,0-3,,,0-3,,,,0-3,0-2,0-1,
