,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Mar,Apr
1,Milwaukee Bucks,12-2,8-0,4-2,4-0,8-2,,4-0,,8-2,0-1,11-1,3-0,9-2
2,Baltimore Bullets,8-10,5-4,3-6,8-6,0-4,8-6,,0-4,,1-2,5-5,3-1,5-9
3,New York Knicks,7-5,5-2,2-3,7-5,,,7-5,,,1-1,3-3,3-1,4-4
4,Los Angeles Lakers,5-7,5-1,0-6,,5-7,,,5-7,,1-0,4-6,2-2,3-5
5,Chicago Bulls,3-4,3-0,0-4,,3-4,,,,3-4,0-1,2-3,2-2,1-2
6,Philadelphia 76ers,3-4,1-2,2-2,3-4,,,3-4,,,1-0,1-2,1-3,2-1
7,Atlanta Hawks,1-4,0-2,1-2,1-4,,1-4,,,,,0-2,1-3,0-1
8,San Francisco Warriors,1-4,1-1,0-3,,1-4,,,1-4,,1-0,0-4,0-3,1-1
