,,,Place,Place,Division,Division,Margin,Margin,Month,Month
Rk,Team,Overall,Home,Road,E,W,≤3,≥10,Mar,Apr
1,Boston Celtics,7-3,5-1,2-2,3-0,4-3,2-3,4-0,4-1,3-2
2,St. Louis Hawks,6-4,6-1,2-3,3-4,5-0,5-1,1-2,6-1,2-3
3,Minneapolis Lakers,2-3,1-1,1-3,,2-4,1-2,,2-4,
4,Syracuse Nationals,2-3,1-1,1-2,2-3,,0-1,1-2,2-3,
5,Fort Wayne Pistons,0-2,0-1,0-2,,0-3,0-1,0-1,0-3,
6,Philadelphia Warriors,0-2,0-1,0-1,0-2,,,0-1,0-2,
