,,,Place,Place,Division,Division,Margin,Margin,Month,Month
Rk,Team,Overall,Home,Road,E,W,≤3,≥10,Mar,Apr
1,Boston Celtics,8-2,6-0,2-2,4-1,4-1,,6-1,4-1,4-1
2,Los Angeles Lakers,6-6,4-2,2-4,,6-6,0-3,2-2,6-5,0-1
3,St. Louis Hawks,5-7,3-3,2-4,1-4,4-3,3-0,1-2,3-3,2-4
4,Syracuse Nationals,4-4,2-1,2-3,4-4,,2-0,1-4,4-4,
5,Detroit Pistons,2-3,2-0,0-3,,2-3,,1-2,2-3,
6,Philadelphia Warriors,0-3,0-2,0-1,0-3,,0-2,,0-3,
