,,,Place,Place,Division,Division,Margin,Margin,Month,Month
Rk,Team,Overall,Home,Road,E,W,≤3,≥10,Mar,Apr
1,St. Louis Hawks,8-3,4-2,4-1,4-2,4-1,6-0,2-3,5-2,3-1
2,Boston Celtics,6-5,4-2,2-3,4-1,2-4,0-4,4-1,5-2,1-3
3,Detroit Pistons,3-4,1-2,2-2,,3-4,0-2,3-2,3-4,
4,Philadelphia Warriors,3-5,2-1,1-4,3-5,,1-0,2-2,3-5,
5,Syracuse Nationals,1-2,1-1,0-1,1-2,,0-1,0-1,1-2,
6,Cincinnati Royals,0-2,0-1,0-1,,0-2,,0-2,0-2,
