,,,Place,Place,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,≤3,≥10,Mar,Apr,May
1,Boston Celtics,12-7,5-4,7-3,8-5,4-2,1-0,4-4,3-2,8-5,1-0
2,Los Angeles Lakers,10-5,6-2,4-3,2-4,8-1,1-1,4-1,4-1,6-3,0-1
3,Philadelphia 76ers,7-6,4-3,3-3,7-6,,,2-2,3-2,4-4,
4,San Francisco Warriors,4-6,3-2,1-4,,4-6,1-1,1-2,3-2,1-4,
5,Detroit Pistons,2-4,1-2,1-2,2-4,,,2-2,2-3,0-1,
6,New York Knicks,2-4,2-1,0-3,2-4,,,1-2,2-3,0-1,
7,St. Louis Hawks,2-4,2-1,0-3,,2-4,0-1,1-1,2-3,0-1,
8,Chicago Bulls,1-4,1-1,0-3,,1-4,,0-1,1-4,,
