,,,Place,Place,Division,Division,Margin,Margin,Month,Month
Rk,Team,Overall,Home,Road,E,W,≤3,≥10,Mar,Apr
1,Boston Celtics,8-2,6-0,2-2,4-1,4-1,1-0,6-1,1-0,7-2
2,St. Louis Hawks,6-6,5-1,1-5,,6-6,0-2,4-3,3-2,3-4
3,San Francisco Warriors,5-7,4-2,1-5,1-4,4-3,1-1,4-3,,5-7
4,Cincinnati Royals,4-6,4-1,0-5,4-6,,,2-4,3-3,1-3
5,Los Angeles Lakers,2-3,2-0,0-3,,2-3,1-0,0-3,2-3,
6,Philadelphia 76ers,2-3,2-0,0-3,2-3,,,0-2,2-3,
