,,,Place,Place,Division,Division,Margin,Margin,Month,Month
Rk,Team,Overall,Home,Road,E,W,≤3,≥10,Mar,Apr
1,Syracuse Nationals,7-4,6-0,1-4,3-1,4-3,2-2,2-0,4-1,3-3
2,Fort Wayne Pistons,6-5,5-0,1-5,3-4,3-1,2-2,1-0,3-2,3-3
3,Boston Celtics,3-4,2-1,1-3,3-4,,1-0,1-2,3-4,
4,Minneapolis Lakers,3-4,3-1,0-3,,3-4,0-2,0-1,3-4,
5,New York Knicks,1-2,1-1,0-1,1-2,,,0-1,1-2,
6,Rochester Royals,1-2,1-0,0-2,,1-2,1-0,,1-2,
