,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Los Angeles Lakers,15-4,9-2,6-2,4-2,11-2,4-2,,4-1,7-1,0-1,11-2,5-0,7-3,3-1
2,Boston Celtics,13-8,9-2,4-6,11-4,2-4,4-1,7-3,,2-4,5-1,5-3,5-1,7-4,1-3
3,Denver Nuggets,8-7,5-3,3-4,,8-7,,,7-3,1-4,1-1,5-3,4-2,4-5,
4,Philadelphia 76ers,8-5,5-1,3-4,8-5,,4-5,4-0,,,0-1,3-3,5-1,3-4,
5,Detroit Pistons,5-4,4-1,1-3,5-4,,5-4,,,,2-0,2-2,3-2,2-2,
6,Portland Trail Blazers,4-5,3-1,1-4,,4-5,,,3-1,1-4,2-0,1-3,3-3,1-2,
7,Utah Jazz,4-6,2-2,2-4,,4-6,,,4-6,,0-1,1-3,3-3,1-3,
8,Milwaukee Bucks,3-5,2-2,1-3,3-5,,0-4,3-1,,,0-1,0-1,3-3,0-2,
9,Houston Rockets,2-3,1-2,1-1,,2-3,,,2-3,,1-0,1-1,2-3,,
10,San Antonio Spurs,2-3,1-1,1-2,,2-3,,,2-3,,1-1,0-2,2-3,,
11,Chicago Bulls,1-3,1-1,0-2,1-3,,,1-3,,,1-0,,1-3,,
12,Cleveland Cavaliers,1-3,1-1,0-2,1-3,,1-3,,,,0-3,,1-3,,
13,Dallas Mavericks,1-3,1-1,0-2,,1-3,,,,1-3,0-2,0-1,1-3,,
14,Washington Bullets,1-3,1-1,0-2,1-3,,1-3,,,,,1-1,1-3,,
15,New Jersey Nets,0-3,0-1,0-2,0-3,,,0-3,,,0-1,0-2,0-3,,
16,Phoenix Suns,0-3,0-1,0-2,,0-3,,,,0-3,,0-3,0-3,,
