,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Los Angeles Lakers,15-1,7-1,8-0,4-1,11-0,4-1,,4-0,7-0,1-0,9-0,3-0,8-0,4-1
2,Philadelphia 76ers,12-11,7-6,5-5,11-7,1-4,,11-7,,1-4,3-2,3-6,2-1,8-5,2-5
3,Milwaukee Bucks,10-8,7-2,3-6,10-8,,6-5,4-3,,,1-1,4-2,2-1,7-6,1-1
4,San Antonio Spurs,7-6,5-2,2-4,,7-6,,,7-2,0-4,,6-3,3-1,4-5,
5,Charlotte Hornets,6-4,3-1,3-3,6-4,,3-0,3-4,,,0-1,4-1,3-0,3-4,
6,Toronto Raptors,6-6,3-2,3-4,6-6,,6-6,,,,1-1,3-1,1-2,5-4,
7,Dallas Mavericks,4-6,3-1,1-5,,4-6,,,4-6,,2-1,1-5,1-2,3-4,
8,Sacramento Kings,3-5,1-3,2-2,,3-5,,,,3-5,0-2,1-1,2-1,1-4,
9,New York Knicks,2-3,1-2,1-1,2-3,,,2-3,,,,0-1,2-1,0-2,
10,Utah Jazz,2-3,2-1,0-2,,2-3,,,2-3,,1-2,1-1,2-1,0-2,
11,Indiana Pacers,1-3,0-2,1-1,1-3,,1-3,,,,1-1,0-1,1-2,0-1,
12,Minnesota Timberwolves,1-3,1-1,0-2,,1-3,,,1-3,,,0-2,1-3,,
13,Orlando Magic,1-3,1-1,0-2,1-3,,,1-3,,,,0-1,1-2,0-1,
14,Phoenix Suns,1-3,0-2,1-1,,1-3,,,,1-3,1-0,0-1,1-2,0-1,
15,Miami Heat,0-3,0-2,0-1,0-3,,,0-3,,,,0-3,0-3,,
16,Portland Trail Blazers,0-3,0-1,0-2,,0-3,,,,0-3,,0-3,0-3,,
