,,,Place,Place,Division,Division,Margin,Margin,Month,Month
Rk,Team,Overall,Home,Road,E,W,≤3,≥10,Mar,Apr
1,Minneapolis Lakers,9-4,6-1,3-3,4-3,5-1,1-1,3-1,3-1,6-3
2,New York Knicks,8-6,5-1,3-5,5-2,3-4,3-0,0-4,2-1,6-5
3,Rochester Royals,3-3,2-1,1-2,,3-3,0-1,2-1,3-1,0-2
4,Syracuse Nationals,3-4,3-1,0-3,3-4,,0-1,3-0,2-1,1-3
5,Boston Celtics,1-2,1-1,0-1,1-2,,0-1,1-0,1-2,
6,Philadelphia Warriors,1-2,1-0,0-2,1-2,,,0-2,1-2,
7,Fort Wayne Pistons,0-2,0-1,0-1,,0-2,,0-1,0-2,
8,Indianapolis Olympians,0-2,0-1,0-1,,0-2,,,0-2,
