,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Los Angeles Lakers,15-8,11-2,4-6,4-2,11-6,,4-2,,11-6,3-0,8-5,2-1,8-4,5-3
2,Indiana Pacers,13-10,9-3,4-7,11-6,2-4,8-4,3-2,,2-4,2-4,6-4,2-1,8-5,3-4
3,Portland Trail Blazers,10-6,6-2,4-4,,10-6,,,7-2,3-4,2-2,5-2,2-1,7-4,1-1
4,New York Knicks,9-7,6-2,3-5,9-7,,4-3,5-4,,,5-1,0-2,3-0,6-6,0-1
5,Miami Heat,6-4,4-2,2-2,6-4,,3-4,3-0,,,2-2,2-0,3-0,3-4,
6,Philadelphia 76ers,5-5,3-2,2-3,5-5,,,5-5,,,1-0,2-3,2-1,3-4,
7,Phoenix Suns,4-5,3-1,1-4,,4-5,,,3-1,1-4,1-1,2-3,2-1,2-4,
8,Utah Jazz,4-6,4-1,0-5,,4-6,,,,4-6,2-1,2-5,2-1,2-5,
9,Milwaukee Bucks,2-3,1-1,1-2,2-3,,,2-3,,,0-2,2-1,1-2,1-1,
10,Sacramento Kings,2-3,2-0,0-3,,2-3,,,,2-3,,1-3,1-2,1-1,
11,Seattle SuperSonics,2-3,2-0,0-3,,2-3,,,2-3,,0-1,2-2,1-2,1-1,
12,Charlotte Hornets,1-3,1-1,0-2,1-3,,1-3,,,,,1-1,1-2,0-1,
13,Minnesota Timberwolves,1-3,1-1,0-2,,1-3,,,,1-3,0-1,,1-2,0-1,
14,San Antonio Spurs,1-3,1-1,0-2,,1-3,,,,1-3,0-1,1-1,1-2,0-1,
15,Detroit Pistons,0-3,0-1,0-2,0-3,,0-3,,,,0-1,0-2,0-3,,
16,Toronto Raptors,0-3,0-1,0-2,0-3,,0-3,,,,0-1,,0-3,,
