,,,Place,Place,Division,Division,Margin,Margin,Month,Month
Rk,Team,Overall,Home,Road,E,W,≤3,≥10,Mar,Apr
1,Rochester Royals,9-5,7-1,2-4,4-3,5-2,0-2,5-0,3-2,6-3
2,New York Knicks,8-6,6-1,2-5,5-2,3-4,3-0,3-3,4-1,4-5
3,Syracuse Nationals,4-3,3-0,1-3,4-3,,1-2,2-1,3-2,1-1
4,Minneapolis Lakers,3-4,3-1,0-3,,3-4,1-0,1-2,3-2,0-2
5,Fort Wayne Pistons,1-2,1-0,0-2,,1-2,,0-2,1-2,
6,Indianapolis Olympians,1-2,1-0,0-2,,1-2,,1-1,1-2,
7,Boston Celtics,0-2,0-1,0-1,0-2,,,0-2,0-2,
8,Philadelphia Warriors,0-2,0-1,0-1,0-2,,0-1,0-1,0-2,
