,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Chicago Bulls,15-4,8-2,7-2,11-2,4-2,4-2,7-0,,4-2,4-0,6-1,1-0,8-2,6-2
2,Phoenix Suns,13-11,7-6,6-5,2-4,11-7,,2-4,4-2,7-5,1-2,5-4,0-1,9-5,4-5
3,Seattle SuperSonics,10-9,8-2,2-7,,10-9,,,7-5,3-4,1-0,6-6,1-0,8-7,1-2
4,New York Knicks,9-6,7-1,2-5,9-6,,,9-6,,,2-1,2-3,1-0,8-4,0-2
5,Houston Rockets,6-6,5-1,1-5,,6-6,,,,6-6,0-2,5-3,1-0,5-6,
6,San Antonio Spurs,5-5,4-1,1-4,,5-5,,,,5-5,2-1,2-1,1-0,4-5,
7,Charlotte Hornets,4-5,3-1,1-4,4-5,,4-5,,,,2-1,1-2,0-1,4-4,
8,Cleveland Cavaliers,3-6,2-3,1-3,3-6,,3-2,0-4,,,0-2,2-2,1-0,2-6,
9,Los Angeles Clippers,2-3,1-1,1-2,,2-3,,,2-3,,1-0,1-2,0-1,2-2,
10,Los Angeles Lakers,2-3,0-2,2-1,,2-3,,,,2-3,,0-1,1-0,1-3,
11,New Jersey Nets,2-3,1-1,1-2,2-3,,,2-3,,,1-0,1-2,0-1,2-2,
12,Utah Jazz,2-3,1-1,1-2,,2-3,,,,2-3,,1-2,0-1,2-2,
13,Boston Celtics,1-3,1-1,0-2,1-3,,,1-3,,,0-2,1-1,1-0,0-3,
14,Indiana Pacers,1-3,1-1,0-2,1-3,,1-3,,,,0-1,1-1,0-1,1-2,
15,Portland Trail Blazers,1-3,1-1,0-2,,1-3,,,1-3,,0-2,,0-1,1-2,
16,Atlanta Hawks,0-3,0-1,0-2,0-3,,,0-3,,,,0-3,0-1,0-2,
