,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Washington Bullets,14-7,9-1,5-6,10-4,4-3,4-2,6-2,,4-3,3-1,4-3,7-2,5-4,2-1
2,Seattle SuperSonics,13-9,10-2,3-7,3-4,10-5,,3-4,4-2,6-3,2-1,6-2,5-3,7-4,1-2
3,Denver Nuggets,6-7,5-2,1-5,,6-7,,,4-3,2-4,,3-5,3-3,3-4,
4,Philadelphia 76ers,6-4,4-1,2-3,6-4,,4-0,2-4,,,0-1,4-2,4-1,2-3,
5,Milwaukee Bucks,5-4,3-1,2-3,,5-4,,,3-4,2-0,,2-3,5-3,0-1,
6,New York Knicks,2-4,1-2,1-2,2-4,,0-4,2-0,,,1-0,1-3,2-4,,
7,Portland Trail Blazers,2-4,2-1,0-3,,2-4,,,,2-4,1-1,1-2,2-3,0-1,
8,San Antonio Spurs,2-4,2-1,0-3,2-4,,,2-4,,,0-2,2-1,2-4,,
9,Los Angeles Lakers,1-2,1-0,0-2,,1-2,,,,1-2,,0-1,1-2,,
10,Atlanta Hawks,0-2,0-1,0-1,0-2,,,0-2,,,,,0-2,,
11,Cleveland Cavaliers,0-2,0-1,0-1,0-2,,0-2,,,,0-1,0-1,0-2,,
12,Phoenix Suns,0-2,0-1,0-1,,0-2,,,0-2,,,,0-2,,
