Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Don Ackerman\ackerdo01,PG,23,NYK,28,,7.9,0.5,2.3,.222,,,,0.5,2.3,.222,.222,0.5,1.0,.536,,,0.5,0.8,,,,1.5,1.5
2,Don Asmonga\asmondo01,G,25,BLB,7,,6.6,0.3,2.1,.133,,,,0.3,2.1,.133,.133,0.1,0.1,1.000,,,0.1,0.7,,,,1.7,0.7
3,Jim Baechtold\baechji01,SF,26,NYK,70,,23.2,2.4,6.6,.366,,,,2.4,6.6,.366,.366,1.9,2.5,.757,,,2.6,1.7,,,,2.8,6.8
4,Don Barksdale*\barksdo01,PF,30,BOS,63,,21.6,2.5,6.6,.376,,,,2.5,6.6,.376,.376,2.4,3.6,.662,,,5.5,1.9,,,,3.4,7.3
5,Leo Barnhorst\barnhle01,F-G,29,TOT,72,,28.7,2.8,8.2,.338,,,,2.8,8.2,.338,.338,0.9,1.2,.716,,,4.1,3.1,,,,2.8,6.4
6,Ernie Barrett\barreer01,SG,24,BOS,59,,10.9,1.0,3.2,.314,,,,1.0,3.2,.314,.314,0.2,0.4,.560,,,1.7,0.9,,,,2.0,2.3
7,Ernie Beck\becker01,SG,22,PHW,15,,28.1,2.6,9.5,.275,,,,2.6,9.5,.275,.275,2.3,2.9,.791,,,3.3,2.3,,,,1.9,7.5
8,Irv Bemoras\bemorir01,SF,23,MLH,69,,21.7,2.7,7.3,.366,,,,2.7,7.3,.366,.366,2.0,3.0,.668,,,3.1,1.1,,,,2.2,7.4
9,Bill Bolger\bolgebi01,SF,22,BLB,20,,10.1,1.2,3.0,.407,,,,1.2,3.0,.407,.407,0.4,0.7,.615,,,1.8,0.6,,,,1.4,2.8
10,Vince Boryla\borylvi01,SF,26,NYK,52,,29.3,3.4,10.1,.333,,,,3.4,10.1,.333,.333,1.3,1.6,.864,,,2.5,1.5,,,,2.5,8.1
11,Bob Brannum\brannbo01,PF,28,BOS,71,,24.4,2.0,6.4,.309,,,,2.0,6.4,.309,.309,1.8,2.9,.626,,,7.2,2.0,,,,3.9,5.8
12,Carl Braun\braunca01,SG,26,NYK,72,,33.0,4.9,12.3,.400,,,,4.9,12.3,.400,.400,4.9,6.0,.825,,,3.4,2.9,,,,3.6,14.8
13,Frankie Brian\brianfr01,SG,30,FTW,64,,15.2,2.1,5.5,.375,,,,2.1,5.5,.375,.375,2.1,2.8,.753,,,1.2,1.4,,,,1.6,6.3
14,Bill Calhoun\calhobi01,SF,26,MLH,72,,32.9,2.6,7.6,.349,,,,2.6,7.6,.349,.349,3.0,4.1,.733,,,3.8,2.6,,,,2.1,8.3
15,Cal Christensen\chrisca01,SF,26,ROC,70,,23.6,2.0,5.6,.347,,,,2.0,5.6,.347,.347,2.0,3.7,.529,,,5.6,1.5,,,,2.8,5.9
16,Nathaniel Clifton*\cliftna01,PF,31,NYK,72,,30.3,3.6,9.7,.368,,,,3.6,9.7,.368,.368,2.4,3.8,.628,,,7.3,2.4,,,,3.0,9.6
17,Jack Coleman\colemja01,PF,29,ROC,71,,33.5,4.1,10.1,.405,,,,4.1,10.1,.405,.405,1.5,2.5,.597,,,8.3,2.2,,,,2.8,9.7
18,Chuck Cooper*\coopech01,SF,27,BOS,70,,15.7,1.1,3.7,.299,,,,1.1,3.7,.299,.299,1.1,1.7,.672,,,4.3,1.1,,,,2.1,3.3
19,Bob Cousy*\cousybo01,PG,25,BOS,72,,39.7,6.8,17.5,.385,,,,6.8,17.5,.385,.385,5.7,7.3,.787,,,5.5,7.2,,,,2.8,19.2
20,Bob Davies*\daviebo01,PG,34,ROC,72,,29.7,4.0,10.8,.371,,,,4.0,10.8,.371,.371,4.3,6.0,.718,,,2.7,4.5,,,,3.1,12.3
21,Walt Davis\daviswa01,PF,23,PHW,68,,23.1,2.5,6.7,.367,,,,2.5,6.7,.367,.367,1.0,1.5,.644,,,6.4,0.9,,,,3.0,5.9
22,Bob Donham\donhabo01,SG,27,BOS,68,,21.3,2.1,4.6,.448,,,,2.1,4.6,.448,.448,1.7,3.1,.554,,,3.9,2.7,,,,3.5,5.9
23,Gene Dyker\dykerge01,F,23,MLH,11,,8.3,0.5,2.4,.231,,,,0.5,2.4,.231,.231,0.4,0.7,.500,,,1.5,0.5,,,,1.9,1.5
24,Ed Earle\earleed01,PF,26,SYR,2,,6.0,0.5,1.0,.500,,,,0.5,1.0,.500,.500,1.0,2.0,.500,,,1.0,0.0,,,,0.0,2.0
25,Ray Felix\felixra01,C,23,BLB,72,,37.1,5.7,13.7,.417,,,,5.7,13.7,.417,.417,6.2,9.8,.638,,,13.3,1.1,,,,3.5,17.6
26,Danny Finn\finnda01,PG,25,PHW,68,,23.0,2.5,7.3,.343,,,,2.5,7.3,.343,.343,1.9,2.9,.643,,,3.2,3.9,,,,3.2,6.9
27,Larry Foust\foustla01,C,25,FTW,72,,37.4,5.2,12.8,.409,,,,5.2,12.8,.409,.409,4.7,6.6,.712,,,13.4,2.2,,,,3.6,15.1
28,Jim Fritsche\fritsji01,PF,22,TOT,68,,18.0,1.7,5.6,.306,,,,1.7,5.6,.306,.306,0.7,1.0,.721,,,3.2,1.1,,,,1.5,4.1
28,Jim Fritsche\fritsji01,PF,22,MNL,2,,4.0,0.0,1.5,.000,,,,0.0,1.5,.000,.000,0.5,2.0,.250,,,0.0,0.0,,,,0.0,0.5
28,Jim Fritsche\fritsji01,PF,22,BLB,66,,18.4,1.8,5.7,.309,,,,1.8,5.7,.309,.309,0.7,1.0,.750,,,3.3,1.1,,,,1.6,4.2
29,Joe Fulks*\fulksjo01,PF,32,PHW,61,,8.2,1.0,3.8,.266,,,,1.0,3.8,.266,.266,0.5,0.8,.571,,,1.7,0.5,,,,1.5,2.5
30,Bill Gabor\gaborbi01,SG,31,SYR,61,,19.9,3.3,9.0,.370,,,,3.3,9.0,.370,.370,2.3,3.2,.716,,,1.6,2.7,,,,3.0,9.0
31,Harry Gallatin*\gallaha01,PF,26,NYK,72,,37.4,3.6,8.9,.404,,,,3.6,8.9,.404,.404,6.0,7.7,.784,,,15.3,2.1,,,,2.9,13.2
32,Jack George\georgja01,PG,25,PHW,71,,37.3,3.6,10.4,.352,,,,3.6,10.4,.352,.352,2.2,3.7,.590,,,5.4,4.4,,,,3.0,9.5
33,Bato Govedarica\govedba01,PG,25,SYR,23,,11.2,1.1,3.4,.316,,,,1.1,3.4,.316,.316,1.1,1.6,.676,,,0.8,1.0,,,,1.9,3.3
34,Joe Graboski\grabojo01,PF,24,PHW,71,,38.9,5.0,14.1,.354,,,,5.0,14.1,.354,.354,3.3,4.9,.674,,,9.4,2.3,,,,3.1,13.3
