Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Paul Arizin*\arizipa01,SF,22,PHW,65,,,5.4,13.3,.407,,,,5.4,13.3,.407,.407,6.4,8.1,.793,,,9.8,2.1,,,,4.4,17.2
2,Curly Armstrong\armstcu01,G-F,32,FTW,38,,,1.9,6.1,.310,,,,1.9,6.1,.310,.310,1.5,2.4,.644,,,2.3,2.0,,,,2.6,5.3
3,Cliff Barker\barkecl01,SG,30,INO,56,,,0.9,3.6,.252,,,,0.9,3.6,.252,.252,0.9,1.4,.649,,,1.8,2.1,,,,1.8,2.7
4,Leo Barnhorst\barnhle01,SF,26,INO,68,,,3.4,9.9,.346,,,,3.4,9.9,.346,.346,1.2,1.8,.689,,,4.4,3.2,,,,2.9,8.0
5,Ed Bartels\barteed01,F,25,WSC,17,,,1.4,5.7,.247,,,,1.4,5.7,.247,.247,1.4,2.7,.522,,,4.9,0.7,,,,3.2,4.2
6,Ed Beach\beached01,F,22,TOT,12,,,0.7,3.2,.211,,,,0.7,3.2,.211,.211,0.5,0.8,.667,,,2.1,0.3,,,,1.2,1.8
6,Ed Beach\beached01,F,22,MNL,11,,,0.7,3.2,.229,,,,0.7,3.2,.229,.229,0.5,0.8,.667,,,2.3,0.2,,,,1.3,2.0
6,Ed Beach\beached01,F,22,TRI,1,,,0.0,3.0,.000,,,,0.0,3.0,.000,.000,0.0,0.0,,,,0.0,1.0,,,,0.0,0.0
7,Ralph Beard\beardra01,G,23,INO,66,,,6.2,16.8,.368,,,,6.2,16.8,.368,.368,4.4,5.7,.775,,,3.8,4.8,,,,1.5,16.8
8,Leon Blevins\blevile01,G,24,INO,2,,,0.5,2.0,.250,,,,0.5,2.0,.250,.250,0.0,0.5,.000,,,1.0,0.5,,,,1.5,1.0
9,Nelson Bobb\bobbne01,PG,26,PHW,53,,,1.0,3.0,.329,,,,1.0,3.0,.329,.329,0.8,1.5,.557,,,1.9,1.5,,,,1.6,2.8
