Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Paul Arizin*\arizipa01,SF,23,PHW,66,,44.5,8.3,18.5,.448,,,,8.3,18.5,.448,.448,8.8,10.7,.818,,,11.3,2.6,,,,3.8,25.4
2,Cliff Barker\barkecl01,SG,31,INO,44,,11.2,1.1,3.7,.298,,,,1.1,3.7,.298,.298,0.7,1.2,.588,,,1.8,1.6,,,,1.3,2.9
3,Don Barksdale*\barksdo01,PF,28,BLB,62,,32.5,4.4,13.0,.338,,,,4.4,13.0,.338,.338,3.8,5.5,.691,,,9.7,2.2,,,,3.7,12.6
4,Leo Barnhorst\barnhle01,SF,27,INO,66,,35.5,5.3,13.6,.389,,,,5.3,13.6,.389,.389,1.8,2.8,.652,,,6.5,3.9,,,,3.0,12.4
5,Elmer Behnke\behnkel01,C,22,MLH,4,,13.8,1.5,5.5,.273,,,,1.5,5.5,.273,.273,1.0,1.8,.571,,,4.3,1.0,,,,3.3,4.0
6,Charlie Black\blackch01,F-C,30,MLH,13,,9.0,0.5,2.4,.194,,,,0.5,2.4,.194,.194,0.4,0.9,.417,,,2.4,0.7,,,,2.4,1.3
7,Nelson Bobb\bobbne01,PG,27,PHW,62,,19.2,1.8,4.9,.359,,,,1.8,4.9,.359,.359,1.6,2.7,.593,,,2.4,2.7,,,,2.9,5.1
8,Vince Boryla\borylvi01,SF,24,NYK,42,,34.3,4.8,12.4,.387,,,,4.8,12.4,.387,.387,2.3,2.7,.835,,,5.2,2.1,,,,2.9,11.9
9,Don Boven\bovendo01,SG,26,MLH,66,,30.0,3.0,10.1,.299,,,,3.0,10.1,.299,.299,3.9,5.3,.731,,,5.1,2.7,,,,4.1,9.9
10,Bob Brannum\brannbo01,PF,26,BOS,66,,20.1,2.3,6.1,.369,,,,2.3,6.1,.369,.369,1.6,2.6,.626,,,6.2,1.2,,,,3.6,6.1
11,Frankie Brian\brianfr01,SG,28,FTW,66,,40.5,5.2,14.7,.352,,,,5.2,14.7,.352,.352,5.6,6.6,.848,,,3.5,3.5,,,,3.3,15.9
12,Stan Brown\brownst01,F,22,PHW,15,,9.4,1.5,4.2,.349,,,,1.5,4.2,.349,.349,0.7,1.2,.556,,,1.1,0.6,,,,2.1,3.6
13,Walt Budko\budkowa01,PF,26,PHW,63,,17.9,1.5,3.8,.404,,,,1.5,3.8,.404,.404,1.0,1.4,.674,,,3.7,1.4,,,,3.1,4.0
14,Art Burris\burriar01,SF,27,TOT,41,,12.5,1.0,3.8,.269,,,,1.0,3.8,.269,.269,0.6,1.0,.667,,,2.4,0.7,,,,1.7,2.7
14,Art Burris\burriar01,SF,27,FTW,29,,8.4,0.6,2.6,.240,,,,0.6,2.6,.240,.240,0.2,0.4,.583,,,1.7,0.4,,,,1.3,1.5
14,Art Burris\burriar01,SF,27,MLH,12,,22.4,2.0,6.8,.296,,,,2.0,6.8,.296,.296,1.6,2.3,.704,,,4.2,1.3,,,,2.5,5.6
15,Gerry Calabrese\calabge01,SG,26,SYR,58,,16.2,1.9,5.5,.344,,,,1.9,5.5,.344,.344,1.3,1.8,.709,,,1.4,1.4,,,,1.8,5.0
16,Bill Calhoun\calhobi01,SG,24,BLB,55,,29.0,2.3,7.4,.315,,,,2.3,7.4,.315,.315,2.3,3.3,.683,,,4.6,2.1,,,,1.5,7.0
17,Al Cervi*\cervial01,PG,34,SYR,55,,15.5,1.8,5.1,.354,,,,1.8,5.1,.354,.354,4.0,4.5,.883,,,1.6,2.7,,,,3.2,7.6
18,Cal Christensen\chrisca01,SF,24,MLH,24,,15.6,1.2,4.0,.302,,,,1.2,4.0,.302,.302,1.3,2.4,.526,,,3.4,1.4,,,,2.0,3.7
19,Nathaniel Clifton*\cliftna01,PF,29,NYK,62,,33.9,3.9,11.8,.335,,,,3.9,11.8,.335,.335,2.7,4.1,.664,,,11.8,3.4,,,,3.7,10.6
20,Bill Closs\clossbi01,SF,30,FTW,57,,19.6,2.1,6.8,.308,,,,2.1,6.8,.308,.308,1.9,2.8,.682,,,3.6,1.3,,,,2.2,6.1
21,Jack Coleman\colemja01,PF,27,ROC,66,,39.5,4.7,11.2,.415,,,,4.7,11.2,.415,.415,1.8,2.6,.710,,,10.5,3.2,,,,3.3,11.2
22,Chuck Cooper*\coopech01,SF,25,BOS,66,,29.9,3.0,8.3,.361,,,,3.0,8.3,.361,.361,2.3,3.0,.741,,,7.6,2.0,,,,3.3,8.2
23,Bob Cousy*\cousybo01,PG,23,BOS,66,,40.6,7.8,21.0,.369,,,,7.8,21.0,.369,.369,6.2,7.7,.808,,,6.4,6.7,,,,2.9,21.7
24,Dillard Crocker\crockdi01,PF,27,TOT,38,,20.6,2.6,7.3,.351,,,,2.6,7.3,.351,.351,2.6,3.8,.669,,,2.9,1.5,,,,3.5,7.7
24,Dillard Crocker\crockdi01,PF,27,INO,6,,3.8,0.3,0.8,.400,,,,0.3,0.8,.400,.400,0.8,1.0,.833,,,0.5,0.0,,,,1.0,1.5
24,Dillard Crocker\crockdi01,PF,27,MLH,32,,23.8,3.0,8.6,.350,,,,3.0,8.6,.350,.350,2.9,4.3,.662,,,3.4,1.8,,,,3.9,8.9
25,Ed Dahler\dahleed01,F,26,PHW,14,,8.0,1.0,2.7,.368,,,,1.0,2.7,.368,.368,0.5,0.5,1.000,,,1.6,0.4,,,,1.1,2.5
26,Bob Davies*\daviebo01,PG,32,ROC,65,,36.8,5.8,15.2,.383,,,,5.8,15.2,.383,.383,4.5,5.8,.776,,,2.9,6.0,,,,4.1,16.2
27,Nate DeLong\delonna01,C,26,MLH,17,,7.8,1.2,2.5,.476,,,,1.2,2.5,.476,.476,1.4,2.1,.686,,,1.8,0.8,,,,2.8,3.8
28,Dick Dickey\dickedi01,PG,25,BOS,45,,9.8,0.9,3.0,.294,,,,0.9,3.0,.294,.294,1.0,1.5,.681,,,1.8,1.1,,,,1.8,2.8
29,Bob Donham\donhabo01,SG,25,BOS,66,,30.0,3.0,6.3,.487,,,,3.0,6.3,.487,.487,2.3,4.4,.509,,,5.0,3.5,,,,3.4,8.3
30,Dike Eddleman\eddledi01,SF,29,TOT,66,,28.8,4.1,12.3,.332,,,,4.1,12.3,.332,.332,3.1,5.0,.611,,,4.1,2.0,,,,3.8,11.3
30,Dike Eddleman\eddledi01,SF,29,MLH,50,,32.3,4.5,14.0,.324,,,,4.5,14.0,.324,.324,3.7,5.9,.631,,,4.6,2.2,,,,3.9,12.8
30,Dike Eddleman\eddledi01,SF,29,FTW,16,,18.0,2.7,7.1,.381,,,,2.7,7.1,.381,.381,1.1,2.4,.462,,,2.3,1.4,,,,3.7,6.5
31,Jake Fendley\fendlja01,SG,22,FTW,58,,11.2,0.9,2.9,.318,,,,0.9,2.9,.318,.318,1.3,1.6,.789,,,1.4,1.0,,,,2.0,3.2
32,Larry Foust\foustla01,C,23,FTW,66,,39.6,5.9,15.0,.394,,,,5.9,15.0,.394,.394,4.0,6.0,.678,,,13.3,3.0,,,,3.7,15.9
33,Jerry Fowler\fowleje01,C,24,MLH,6,,6.8,0.7,2.2,.308,,,,0.7,2.2,.308,.308,0.2,0.7,.250,,,1.7,0.3,,,,1.5,1.5
34,Joe Fulks*\fulksjo01,PF,30,PHW,61,,31.2,5.5,17.7,.312,,,,5.5,17.7,.312,.312,4.1,5.0,.825,,,6.0,2.0,,,,4.2,15.1
35,Bill Gabor\gaborbi01,SG,29,SYR,57,,19.0,3.0,9.4,.322,,,,3.0,9.4,.322,.322,2.5,3.2,.776,,,1.6,1.5,,,,3.3,8.6
36,Harry Gallatin*\gallaha01,PF,24,NYK,66,,29.3,3.5,8.0,.442,,,,3.5,8.0,.442,.442,4.2,5.2,.806,,,10.0,1.7,,,,3.4,11.2
37,Vern Gardner\gardnve01,SG,26,PHW,27,,18.8,2.7,7.2,.371,,,,2.7,7.2,.371,.371,0.6,0.9,.652,,,4.1,1.4,,,,2.2,5.9
38,Joe Graboski\grabojo01,C,22,INO,66,,37.0,4.8,12.5,.387,,,,4.8,12.5,.387,.387,4.0,6.0,.667,,,9.9,2.0,,,,3.8,13.7
39,Alex Hannum*\hannual01,F-C,28,TOT,66,,22.8,2.6,7.0,.368,,,,2.6,7.0,.368,.368,1.5,2.1,.710,,,5.1,2.0,,,,4.1,6.6
40,Bob Harris\harribo01,PF,24,BOS,66,,28.8,2.9,7.0,.410,,,,2.9,7.0,.410,.410,2.0,3.2,.641,,,8.0,1.8,,,,2.9,7.8
41,Bob Harrison\harribo02,SG,24,MNL,65,,26.3,2.4,7.5,.320,,,,2.4,7.5,.320,.320,1.4,1.9,.718,,,2.5,2.9,,,,3.1,6.2
42,Lew Hitch\hitchle01,PF,22,MNL,61,,13.9,1.3,3.5,.358,,,,1.3,3.5,.358,.358,1.0,1.5,.670,,,4.0,0.8,,,,1.5,3.6
43,Joe Holland\hollajo01,SF,26,INO,55,,13.4,1.7,4.8,.351,,,,1.7,4.8,.351,.351,0.7,1.3,.580,,,3.0,0.9,,,,1.6,4.1
44,Red Holzman*\holzmre01,PG,31,ROC,65,,16.4,1.6,5.7,.280,,,,1.6,5.7,.280,.280,0.9,1.3,.718,,,1.6,1.8,,,,1.5,4.1
45,Mel Hutchins\hutchme01,C,23,MLH,66,,39.7,3.5,9.6,.365,,,,3.5,9.6,.365,.365,2.2,3.4,.644,,,13.3,2.9,,,,2.9,9.2
46,Joe Hutton\huttojo01,SG,23,MNL,60,,12.1,0.9,2.6,.335,,,,0.9,2.6,.335,.335,0.8,1.2,.700,,,1.4,1.0,,,,1.8,2.6
47,Arnie Johnson\johnsar01,SF,31,ROC,66,,32.7,2.7,6.2,.433,,,,2.7,6.2,.433,.433,4.6,5.9,.778,,,6.1,2.8,,,,3.9,10.0
48,Ralph Johnson\johnsra01,PG,30,FTW,66,,34.3,3.2,9.0,.356,,,,3.2,9.0,.356,.356,1.5,2.1,.721,,,3.4,3.2,,,,3.7,7.9
49,Neil Johnston*\johnsne01,C,22,PHW,64,,15.5,2.2,4.7,.472,,,,2.2,4.7,.472,.472,1.6,2.4,.662,,,5.3,0.6,,,,2.4,6.0
50,Wah Wah Jones\joneswa01,PF,25,INO,58,,22.8,2.8,9.0,.313,,,,2.8,9.0,.313,.313,1.8,2.3,.750,,,4.9,2.6,,,,2.4,7.4
51,Noble Jorgensen\jorgeno01,C,26,SYR,66,,20.0,2.9,7.0,.413,,,,2.9,7.0,.413,.413,2.3,2.8,.797,,,4.4,1.0,,,,2.9,8.0
52,George Kaftan\kaftage01,SF,23,NYK,52,,18.4,2.2,5.9,.375,,,,2.2,5.9,.375,.375,1.8,2.6,.687,,,3.8,1.7,,,,2.1,6.2
53,Jack Kerris\kerrija01,PF,27,FTW,66,,32.5,2.8,7.3,.388,,,,2.8,7.3,.388,.388,3.3,4.9,.668,,,7.8,3.2,,,,4.0,8.9
54,Jack Kiley\kileyja01,SG,23,FTW,47,,10.1,0.9,4.1,.228,,,,0.9,4.1,.228,.228,0.6,1.1,.556,,,1.0,1.3,,,,1.1,2.5
55,George King\kingge01,PG,23,SYR,66,,28.6,3.6,8.8,.406,,,,3.6,8.8,.406,.406,2.8,4.0,.712,,,4.2,3.7,,,,3.0,10.0
56,Walt Kirk\kirkwa01,PG,27,MLH,11,,36.0,2.5,9.2,.277,,,,2.5,9.2,.277,.277,5.0,7.1,.705,,,4.0,2.5,,,,4.3,10.1
57,Frank Kudelka\kudelfr01,SF,26,BLB,65,,24.4,3.1,9.4,.332,,,,3.1,9.4,.332,.332,3.0,4.0,.767,,,4.2,2.8,,,,3.4,9.3
58,Bob Lavoy\lavoybo01,PF,25,INO,63,,29.0,3.8,9.6,.397,,,,3.8,9.6,.397,.397,2.7,3.5,.753,,,7.6,1.7,,,,3.3,10.3
59,Don Lofgran\lofgrdo01,SF,23,INO,63,,19.9,2.4,6.6,.357,,,,2.4,6.6,.357,.357,2.5,3.5,.712,,,4.1,0.8,,,,2.3,7.2
60,Ray Lumpp\lumppra01,SG,28,NYK,62,,21.2,3.0,7.7,.387,,,,3.0,7.7,.387,.387,1.5,1.9,.756,,,2.0,2.0,,,,2.7,7.4
61,Ed Macauley*\macaued01,C,23,BOS,66,,39.9,5.8,13.5,.432,,,,5.8,13.5,.432,.432,7.5,9.4,.799,,,8.0,3.5,,,,2.6,19.2
62,John Mahnken\mahnkjo01,C,29,BOS,60,,9.7,1.3,3.8,.344,,,,1.3,3.8,.344,.344,0.4,0.7,.605,,,2.2,1.1,,,,1.5,3.0
63,Slater Martin*\martisl01,PG,26,MNL,66,,37.6,3.6,9.6,.375,,,,3.6,9.6,.375,.375,2.2,2.9,.747,,,3.5,3.8,,,,3.4,9.3
64,John McConathy\mcconjo01,F,21,MLH,11,,9.6,0.4,2.6,.138,,,,0.4,2.6,.138,.138,0.5,1.3,.429,,,1.8,0.7,,,,0.6,1.3
65,Alfred McGuire*\mcguial01,PG,23,NYK,59,,13.4,1.2,2.8,.431,,,,1.2,2.8,.431,.431,1.1,2.1,.525,,,2.1,1.8,,,,2.3,3.5
66,Dick McGuire*\mcguidi01,PG,26,NYK,64,,31.5,3.2,7.4,.430,,,,3.2,7.4,.430,.430,2.9,4.5,.631,,,5.2,6.1,,,,2.8,9.2
67,Bones McKinney\mckinbo01,SF,33,BOS,63,,17.2,2.2,6.6,.325,,,,2.2,6.6,.325,.325,1.0,1.3,.813,,,2.8,1.8,,,,2.3,5.3
68,Joe McNamee\mcnamjo01,F-C,25,TOT,58,,12.0,1.2,3.8,.306,,,,1.2,3.8,.306,.306,0.5,0.9,.600,,,2.4,0.7,,,,1.9,2.9
69,Dick Mehen\mehendi01,PF,29,MLH,65,,35.3,4.5,12.7,.356,,,,4.5,12.7,.356,.356,1.8,2.6,.701,,,4.3,2.6,,,,3.2,10.8
70,Stan Miasek\miasest01,PF,27,BLB,66,,32.9,3.9,10.7,.365,,,,3.9,10.7,.365,.365,4.0,5.6,.707,,,9.7,2.1,,,,3.9,11.8
71,Ed Mikan\mikaned01,C,26,PHW,66,,27.0,3.1,8.7,.354,,,,3.1,8.7,.354,.354,1.8,2.2,.784,,,7.5,1.3,,,,3.8,7.9
72,George Mikan*\mikange01,C,27,MNL,64,,40.2,8.5,22.1,.385,,,,8.5,22.1,.385,.385,6.8,8.7,.780,,,13.5,3.0,,,,4.5,23.8
73,Vern Mikkelsen*\mikkeve01,PF,23,MNL,66,,35.5,5.5,13.1,.419,,,,5.5,13.1,.419,.419,4.3,5.6,.761,,,10.3,2.7,,,,4.3,15.3
74,Dave Minor\minorda01,SG,29,BLB,57,,27.3,3.2,9.2,.354,,,,3.2,9.2,.354,.354,1.8,2.3,.765,,,4.8,2.8,,,,2.8,8.3
75,Paul Noel\noelpa01,F,27,ROC,8,,4.0,0.3,1.1,.222,,,,0.3,1.1,.222,.222,0.3,0.4,.667,,,0.5,0.4,,,,0.8,0.8
76,Ralph O'Brien\obriera01,SG,23,INO,64,,24.6,3.6,9.6,.372,,,,3.6,9.6,.372,.372,1.9,2.3,.819,,,1.9,1.9,,,,1.8,9.0
77,Kevin O'Shea\osheake01,PG,26,TOT,65,,26.5,2.4,7.2,.328,,,,2.4,7.2,.328,.328,2.2,3.2,.686,,,3.1,2.6,,,,2.7,6.9
77,Kevin O'Shea\osheake01,G,26,MLH,43,,25.0,2.1,7.0,.306,,,,2.1,7.0,.306,.306,1.7,2.6,.655,,,2.8,2.3,,,,2.6,6.0
77,Kevin O'Shea\osheake01,PG,26,BLB,22,,29.5,2.8,7.5,.370,,,,2.8,7.5,.370,.370,3.2,4.4,.722,,,3.6,3.2,,,,2.9,8.7
78,Wally Osterkorn\osterwa01,SF,23,SYR,66,,26.1,2.2,6.3,.351,,,,2.2,6.3,.351,.351,3.0,5.1,.594,,,6.7,1.8,,,,3.4,7.4
79,Don Otten\ottendo01,C,30,TOT,64,,28.0,3.5,9.9,.349,,,,3.5,9.9,.349,.349,5.0,6.5,.773,,,6.8,1.9,,,,3.4,12.0
79,Don Otten\ottendo01,C,30,FTW,7,,9.0,0.7,2.9,.250,,,,0.7,2.9,.250,.250,2.0,2.3,.875,,,2.9,0.7,,,,2.7,3.4
79,Don Otten\ottendo01,C,30,MLH,57,,30.3,3.8,10.8,.352,,,,3.8,10.8,.352,.352,5.4,7.1,.769,,,7.3,2.1,,,,3.5,13.0
80,Red Owens\owensre01,SG,26,TOT,29,,21.6,2.9,8.7,.329,,,,2.9,8.7,.329,.329,2.2,3.9,.561,,,3.5,2.2,,,,3.2,7.9
80,Red Owens\owensre01,SG,26,BLB,19,,17.9,2.9,8.5,.342,,,,2.9,8.5,.342,.342,2.1,3.9,.533,,,3.7,1.7,,,,2.7,7.9
80,Red Owens\owensre01,SG,26,MLH,10,,28.5,2.8,9.1,.308,,,,2.8,9.1,.308,.308,2.4,3.9,.615,,,3.1,3.2,,,,4.1,8.0
81,Mel Payton\paytome01,SF,25,PHW,45,,10.5,1.2,3.1,.386,,,,1.2,3.1,.386,.386,0.5,0.6,.750,,,1.8,1.0,,,,1.5,2.9
82,Andy Phillip*\phillan01,SG,29,PHW,66,,44.4,4.2,11.5,.366,,,,4.2,11.5,.366,.366,3.5,4.7,.753,,,6.6,8.2,,,,3.3,12.0
83,John Pilch\pilchjo01,F,26,MNL,9,,4.6,0.1,1.1,.100,,,,0.1,1.1,.100,.100,0.3,0.7,.500,,,1.0,0.2,,,,1.1,0.6
84,Jim Pollard*\pollaji01,SF,29,MNL,65,,39.2,6.3,17.8,.356,,,,6.3,17.8,.356,.356,2.8,4.0,.704,,,9.1,3.6,,,,3.1,15.5
85,Ray Ragelis\ragelra01,SF,23,ROC,51,,6.6,0.5,1.9,.260,,,,0.5,1.9,.260,.260,0.4,0.6,.621,,,1.5,0.6,,,,1.2,1.3
86,Sam Ranzino\ranzisa01,SG,24,ROC,39,,6.0,0.8,2.3,.333,,,,0.8,2.3,.333,.333,0.7,0.9,.703,,,1.0,0.6,,,,1.6,2.2
87,George Ratkovicz\ratkoge01,PF,29,SYR,66,,20.5,2.5,7.2,.349,,,,2.5,7.2,.349,.349,2.5,3.7,.674,,,5.0,1.4,,,,3.6,7.5
88,Don Rehfeldt\rehfedo01,SF,25,TOT,39,,20.2,2.5,7.3,.347,,,,2.5,7.3,.347,.347,1.6,2.1,.788,,,6.2,1.3,,,,2.6,6.7
88,Don Rehfeldt\rehfedo01,SF,25,BLB,10,,19.4,2.0,5.9,.339,,,,2.0,5.9,.339,.339,1.4,2.3,.609,,,6.9,1.2,,,,2.4,5.4
88,Don Rehfeldt\rehfedo01,SF,25,MLH,29,,20.5,2.7,7.8,.350,,,,2.7,7.8,.350,.350,1.7,2.0,.860,,,6.0,1.3,,,,2.7,7.1
89,John Rennicke\rennijo01,G,22,MLH,6,,9.0,0.7,3.0,.222,,,,0.7,3.0,.222,.222,0.5,1.5,.333,,,1.5,0.2,,,,1.2,1.8
90,Arnie Risen*\risenar01,C,27,ROC,66,,36.3,5.5,14.0,.394,,,,5.5,14.0,.394,.394,4.6,6.5,.701,,,12.7,2.3,,,,3.9,15.6
91,Red Rocha\rochare01,C,28,SYR,66,,38.5,4.5,11.3,.401,,,,4.5,11.3,.401,.401,3.8,5.0,.770,,,8.3,1.9,,,,3.8,12.9
92,Pep Saul\saulpe01,G-F,27,TOT,64,,23.1,2.5,6.8,.360,,,,2.5,6.8,.360,.360,1.9,2.4,.778,,,2.6,2.3,,,,1.9,6.8
93,Don Savage\savagdo01,F-G,23,SYR,12,,9.8,0.8,3.6,.209,,,,0.8,3.6,.209,.209,1.5,2.3,.643,,,2.0,1.0,,,,1.8,3.0
94,Fred Schaus\schaufr01,SF,26,FTW,62,,41.6,4.5,12.5,.361,,,,4.5,12.5,.361,.361,5.0,6.0,.833,,,7.0,4.0,,,,3.6,14.1
95,Dolph Schayes*\schaydo01,PF,23,SYR,63,,31.8,4.2,11.7,.355,,,,4.2,11.7,.355,.355,5.4,6.7,.807,,,12.3,2.9,,,,3.4,13.8
96,Herb Scherer\scherhe01,C,23,NYK,12,,13.9,1.6,5.4,.292,,,,1.6,5.4,.292,.292,0.8,1.2,.643,,,2.2,0.5,,,,2.1,3.9
