,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Baltimore Bullets,57-25,29-9,24-15,4-1,26-14,31-11,33-11,24-14,12-6,28-8,7-3,10-3,11-4,9-5,13-3,7-7
2,Los Angeles Lakers,55-27,32-9,21-18,2-0,25-17,30-10,30-15,25-12,13-4,26-9,4-3,11-4,13-5,9-5,8-7,10-3
3,Philadelphia 76ers,55-27,26-8,24-16,5-3,23-17,32-10,29-13,26-14,7-9,26-10,3-2,9-4,14-4,9-7,12-5,8-5
4,New York Knicks,54-28,30-7,19-20,5-1,26-14,28-14,30-18,24-10,9-6,25-7,4-4,6-10,15-3,11-4,10-3,8-4
5,Atlanta Hawks,48-34,28-12,18-21,2-1,22-20,26-14,27-17,21-17,10-7,23-18,3-4,9-8,10-3,11-7,9-7,6-5
6,Boston Celtics,48-34,24-12,21-19,3-3,23-17,25-17,29-14,19-20,6-12,29-13,4-2,11-4,7-6,12-6,7-9,7-7
7,San Francisco Warriors,41-41,22-19,18-21,1-1,21-21,20-20,18-26,23-15,9-5,18-19,3-3,8-8,5-12,8-6,10-7,7-5
8,Cincinnati Royals,41-41,15-13,16-21,10-7,20-20,21-21,24-20,17-21,6-7,16-19,4-2,9-6,9-6,5-11,7-10,7-6
9,San Diego Rockets,37-45,25-16,8-25,4-4,17-25,20-20,18-26,19-19,1-8,24-19,3-3,7-9,6-10,6-9,7-8,8-6
10,Chicago Bulls,33-49,19-21,12-25,2-3,14-28,19-21,20-25,13-24,5-8,15-23,3-4,7-11,7-8,6-9,5-9,5-8
11,Detroit Pistons,32-50,21-17,7-30,4-3,13-27,19-23,17-27,15-23,9-10,11-24,3-4,7-8,4-10,9-9,4-12,5-7
12,Seattle SuperSonics,30-52,18-18,6-29,6-5,15-29,15-23,15-33,15-19,7-6,11-28,2-6,8-11,4-11,5-9,6-8,5-7
13,Milwaukee Bucks,27-55,15-19,8-27,4-9,7-29,20-26,14-32,13-23,5-8,11-28,1-5,5-10,4-15,5-9,8-7,4-9
14,Phoenix Suns,16-66,11-26,4-28,1-12,8-36,8-30,9-36,7-30,3-6,5-43,4-3,1-12,3-15,3-12,3-14,2-10
