,,,Place,Place,Place,Conference,Conference,Division,Division,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,A,C,M,P,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Milwaukee Bucks,59-23,31-7,24-16,4-0,25-7,34-16,11-5,14-2,14-6,20-10,35-10,24-13,4-8,39-8,9-1,12-3,9-4,10-3,9-7,10-5
2,Boston Celtics,56-26,26-6,21-18,9-2,32-14,24-12,17-5,15-9,10-6,14-6,32-9,24-17,11-5,26-12,5-3,11-1,13-2,7-6,9-6,11-8
3,Chicago Bulls,54-28,32-9,21-19,1-0,24-8,30-20,10-6,14-2,13-7,17-13,31-17,23-11,10-7,28-11,7-2,11-4,10-6,8-6,11-4,7-6
4,Detroit Pistons,52-30,29-12,23-17,0-1,18-14,34-16,7-9,11-5,9-11,25-5,28-18,24-12,10-14,24-8,7-4,5-7,12-5,10-3,10-6,8-5
5,New York Knicks,49-33,28-13,21-19,0-1,25-21,24-12,10-12,15-9,10-6,14-6,28-18,21-15,6-11,28-16,5-4,7-8,11-4,9-5,9-5,8-7
6,Capital Bullets,47-35,31-10,15-25,1-0,28-18,19-17,14-10,14-8,7-9,12-8,24-18,23-17,10-7,23-16,3-5,8-4,9-6,7-8,11-6,9-6
7,Los Angeles Lakers,47-35,30-11,17-24,,17-15,30-20,12-4,5-11,16-8,14-12,26-20,21-15,12-7,19-17,7-3,9-4,6-11,7-4,8-8,10-5
8,Golden State Warriors,44-38,23-18,20-20,1-0,20-12,24-26,8-8,12-4,9-15,15-11,20-21,24-17,10-11,25-18,4-3,9-4,4-10,10-5,10-5,7-11
9,Buffalo Braves,42-40,19-13,17-21,6-6,28-18,14-22,12-10,16-8,5-11,9-11,23-23,19-17,8-4,20-17,6-4,4-11,6-7,10-7,10-5,6-6
10,Seattle SuperSonics,36-46,22-19,14-27,,15-17,21-29,8-8,7-9,9-15,12-14,21-30,15-16,8-9,12-20,3-9,6-8,8-10,7-6,6-6,6-7
11,Atlanta Hawks,35-47,23-18,12-25,0-4,20-26,15-21,7-17,13-9,3-13,12-8,20-25,15-22,4-6,21-29,6-4,6-7,7-7,4-13,5-9,7-7
12,Kansas City-Omaha Kings,33-49,20-21,13-28,,15-17,18-32,5-11,10-6,4-16,14-16,18-31,15-18,8-8,14-29,4-6,2-14,8-7,7-8,6-8,6-6
13,Houston Rockets,32-50,18-23,13-25,1-2,21-25,11-25,12-12,9-13,3-13,8-12,15-32,17-18,3-12,18-16,4-7,4-8,4-12,6-10,8-4,6-9
14,Phoenix Suns,30-52,24-17,6-34,0-1,14-18,16-34,4-12,10-6,5-19,11-15,17-29,13-23,3-5,14-29,2-8,5-8,8-8,6-7,4-12,5-9
15,Cleveland Cavaliers,29-53,18-23,11-28,0-2,17-29,12-24,9-15,8-14,2-14,10-10,16-31,13-22,10-4,7-28,2-7,7-9,5-11,5-9,4-11,6-6
16,Portland Trail Blazers,27-55,22-19,5-34,0-2,9-23,18-32,5-11,4-12,5-19,13-13,19-24,8-31,6-8,10-27,5-4,5-9,7-8,2-11,2-14,6-9
17,Philadelphia 76ers,25-57,14-23,9-30,2-4,13-33,12-24,5-17,8-16,6-10,6-14,14-31,11-26,9-6,7-34,2-7,6-8,3-12,4-8,5-11,5-11
