,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Boston Celtics,49-23,25-4,17-13,7-6,20-16,29-7,29-12,20-11,5-4,32-11,3-0,12-1,9-6,9-8,12-5,4-3
2,St. Louis Hawks,41-31,23-8,9-19,9-4,17-19,24-12,29-15,12-16,12-8,17-10,1-2,10-4,12-4,7-9,8-8,3-4
3,Syracuse Nationals,41-31,26-5,9-21,6-5,21-15,20-16,25-19,16-12,3-5,20-13,1-1,6-8,11-5,10-8,10-7,3-2
4,Philadelphia Warriors,37-35,17-12,11-19,9-4,17-19,20-16,19-21,18-14,4-6,20-20,1-1,7-7,5-8,10-8,12-6,2-5
5,New York Knicks,35-37,16-12,11-20,8-5,14-22,21-15,20-23,15-14,10-11,15-13,1-1,5-10,10-5,8-10,8-8,3-3
6,Cincinnati Royals,33-39,17-12,10-19,6-8,16-20,17-19,21-23,12-16,9-7,16-20,1-0,7-7,5-13,11-5,4-12,5-2
7,Detroit Pistons,33-39,14-14,13-18,6-7,15-21,18-18,17-27,16-12,11-8,10-19,1-2,6-7,5-11,9-10,10-7,2-2
8,Minneapolis Lakers,19-53,13-17,4-22,2-14,6-30,13-23,11-31,8-22,5-10,6-30,0-2,3-12,5-10,5-11,4-15,2-3
