,,,Place,Place,Conference,Conference,Division,Division,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Golden State Warriors,59-23,36-5,23-18,24-12,35-11,12-4,12-8,18-2,17-9,35-13,24-10,5-4,32-9,2-2,10-3,11-3,12-4,8-5,13-4,3-2
2,Boston Celtics,54-28,31-10,23-18,30-16,24-12,13-8,17-8,10-6,14-6,34-13,20-15,10-7,20-12,3-0,6-6,12-3,12-4,7-5,11-6,3-4
3,Cleveland Cavaliers,49-33,29-12,20-21,25-21,24-12,10-10,15-11,11-5,13-7,27-22,22-11,8-8,21-13,1-2,6-9,11-4,9-6,9-3,9-6,4-3
4,Washington Bullets,48-34,31-10,17-24,24-22,24-12,10-10,14-12,11-5,13-7,28-21,20-13,7-6,26-13,1-0,6-8,9-7,11-6,11-4,8-6,2-3
5,Buffalo Braves,46-36,28-14,18-22,25-21,21-15,10-11,15-10,11-5,10-10,30-20,16-16,8-8,22-17,3-0,6-9,10-6,11-5,5-6,7-9,4-1
6,Philadelphia 76ers,46-36,34-7,12-29,22-24,24-12,9-12,13-12,12-4,12-8,29-20,17-16,14-4,20-17,2-1,10-5,9-5,8-8,6-8,7-7,4-2
7,Seattle SuperSonics,43-39,31-10,12-29,20-16,23-23,10-6,10-10,11-9,12-14,23-26,20-13,13-3,23-21,3-2,7-8,8-7,5-9,8-5,8-5,4-3
8,Phoenix Suns,42-40,27-14,15-26,16-20,26-20,4-12,12-8,11-9,15-11,19-27,23-13,9-9,21-18,1-1,6-6,8-7,4-13,8-5,12-5,3-3
9,Houston Rockets,40-42,27-13,13-29,23-23,17-19,9-11,14-12,9-7,8-12,23-23,17-19,8-9,20-21,0-3,8-5,7-7,8-8,7-8,8-7,2-4
10,Los Angeles Lakers,40-42,31-11,9-31,19-17,21-25,7-9,12-8,11-9,10-16,25-25,15-17,4-9,20-22,3-2,11-5,7-8,3-10,7-6,7-9,2-2
11,Milwaukee Bucks,38-44,22-19,16-25,15-21,23-23,7-9,8-12,13-8,10-15,20-29,18-15,9-10,13-23,0-3,7-8,6-7,7-10,6-6,8-8,4-2
12,New Orleans Jazz,38-44,22-19,16-25,20-26,18-18,5-15,15-11,10-6,8-12,22-24,16-20,7-7,16-20,4-1,3-9,5-9,9-5,6-9,8-8,3-3
13,New York Knicks,38-44,24-17,14-27,22-24,16-20,10-11,12-13,10-6,6-14,24-27,14-17,7-10,11-18,2-3,5-11,9-6,8-7,6-5,4-10,4-2
14,Portland Trail Blazers,37-45,25-15,12-30,11-25,26-20,5-11,6-14,15-5,11-15,22-27,15-18,6-8,19-20,0-4,8-7,4-10,9-6,6-8,7-7,3-3
15,Detroit Pistons,36-46,24-17,12-29,17-19,19-27,7-9,10-10,12-9,7-18,18-28,18-18,5-9,15-18,3-1,7-4,3-12,5-10,6-8,8-8,4-3
16,Kansas City Kings,31-51,25-16,6-35,13-23,18-28,4-12,9-11,10-11,8-17,18-31,13-20,5-7,15-30,0-3,7-5,3-14,8-9,4-8,7-8,2-4
17,Atlanta Hawks,29-53,20-21,9-32,16-30,13-23,9-11,7-19,7-9,6-14,24-25,5-28,6-7,10-17,1-1,9-6,7-6,6-12,3-10,2-12,1-6
18,Chicago Bulls,24-58,15-26,9-32,8-28,16-30,3-13,5-15,7-14,9-16,14-34,10-24,7-13,8-23,2-2,2-10,4-12,6-9,4-8,4-13,2-4
