,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Nov,Dec,Jan,Feb,Mar
1,Philadelphia Warriors,45-27,21-7,11-17,13-3,22-14,23-13,27-13,18-14,8-6,25-14,8-3,8-5,13-8,12-5,4-6
2,Boston Celtics,39-33,20-7,12-15,7-11,18-18,21-15,24-17,15-16,11-8,14-16,5-4,10-5,11-11,9-8,4-5
3,Fort Wayne Pistons,37-35,19-7,10-18,8-10,18-18,19-17,22-18,15-17,8-9,16-9,4-8,9-4,13-6,7-13,4-4
4,New York Knicks,35-37,13-15,16-13,6-9,17-19,18-18,21-19,14-18,6-6,14-14,8-5,7-7,8-10,7-12,5-3
5,Syracuse Nationals,35-37,23-8,9-19,3-10,15-21,20-16,19-22,16-15,6-10,15-12,6-6,8-8,6-11,11-7,4-5
6,Minneapolis Lakers,33-39,14-12,6-21,13-6,14-22,19-17,18-25,15-14,8-5,14-18,4-9,5-10,11-8,7-7,6-5
7,St. Louis Hawks,33-39,16-11,10-17,7-11,15-21,18-18,14-26,19-13,8-9,11-17,7-4,4-10,7-12,9-8,6-5
8,Rochester Royals,31-41,15-14,7-21,9-6,15-21,16-20,19-24,12-17,8-10,9-18,4-7,8-10,8-11,8-10,3-3
