,,,Place,Place,Place,Conference,Conference,Division,Division,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,A,C,M,P,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Milwaukee Bucks,66-16,34-2,28-13,4-1,30-8,36-8,14-5,16-3,14-4,22-4,35-7,31-9,5-4,47-6,5-1,13-2,11-4,15-2,16-2,6-5
2,New York Knicks,52-30,32-9,19-20,1-1,25-13,27-17,10-6,15-7,13-7,14-10,32-14,20-16,5-7,27-9,9-2,11-5,11-4,8-7,7-8,6-4
3,Chicago Bulls,51-31,30-11,17-19,4-1,26-11,25-20,11-8,15-3,7-11,18-9,26-18,25-13,6-8,33-8,5-3,7-5,11-8,9-6,11-3,8-6
4,Los Angeles Lakers,48-34,30-11,17-22,1-1,23-15,25-19,10-9,13-6,10-12,15-7,24-19,24-15,3-9,30-16,4-3,8-5,10-7,9-7,13-4,4-8
5,Phoenix Suns,48-34,27-14,19-20,2-0,23-15,25-19,9-10,14-5,9-9,16-10,26-21,22-13,5-7,24-16,3-6,11-6,9-7,11-4,9-4,5-7
6,Philadelphia 76ers,47-35,24-15,21-18,2-2,23-15,24-20,10-6,13-9,9-11,15-9,27-20,20-15,8-3,19-14,6-4,9-8,9-6,10-6,7-6,6-5
7,Detroit Pistons,45-37,24-17,20-19,1-1,26-14,19-23,12-9,14-5,6-12,13-11,30-16,15-21,16-8,11-20,9-1,7-9,10-4,9-6,6-8,4-9
8,Boston Celtics,44-38,25-14,18-22,1-2,22-16,22-22,8-8,14-8,8-12,14-10,26-19,18-19,7-10,22-17,5-5,8-5,9-7,8-9,8-8,6-4
9,Baltimore Bullets,42-40,24-13,16-25,2-2,21-17,21-23,11-11,10-6,8-12,13-11,26-17,16-23,5-5,21-17,6-3,8-8,7-5,11-6,6-9,4-9
10,San Francisco Warriors,41-41,20-18,19-21,2-2,21-17,20-24,9-10,12-7,8-14,12-10,25-23,16-18,7-4,17-21,3-5,11-5,9-9,7-7,6-10,5-5
11,San Diego Rockets,40-42,24-15,15-26,1-1,19-18,21-24,8-11,11-7,7-16,14-8,23-24,17-18,7-6,20-16,6-6,8-7,7-7,3-14,8-5,8-3
12,Seattle SuperSonics,38-44,27-13,11-30,0-1,22-16,16-28,10-9,12-7,6-14,10-14,21-25,17-19,10-3,16-28,5-5,7-8,6-9,7-8,6-9,7-5
13,Atlanta Hawks,36-46,21-20,14-26,1-0,21-17,15-29,12-10,9-7,3-17,12-12,14-32,22-14,6-7,15-24,1-5,5-11,7-11,6-10,8-7,9-2
14,Cincinnati Royals,33-49,17-16,11-28,5-5,21-19,12-30,9-13,12-6,3-16,9-14,19-23,14-26,4-4,20-30,3-6,6-7,7-8,7-10,3-13,7-5
15,Portland Trail Blazers,29-53,18-21,9-26,2-6,23-25,6-28,9-15,14-10,3-13,3-15,16-31,13-22,4-5,15-32,4-5,5-13,3-10,5-11,6-8,6-6
16,Buffalo Braves,22-60,14-23,6-30,2-7,9-27,13-33,2-10,7-17,2-16,11-17,12-35,10-25,3-8,9-35,1-6,6-10,4-15,5-13,3-9,3-7
17,Cleveland Cavaliers,15-67,11-30,2-37,2-0,10-28,5-39,9-15,1-13,2-14,3-25,6-44,9-23,3-6,9-46,0-9,1-17,4-13,5-9,2-12,3-7
