,,,Place,Place,Place,Conference,Conference,Division,Division,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,A,C,M,P,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Los Angeles Lakers,69-13,36-5,31-7,2-1,33-5,36-8,17-2,16-3,15-5,21-3,41-5,28-8,3-4,50-4,6-3,14-0,16-0,8-4,13-4,12-2
2,Milwaukee Bucks,63-19,31-5,27-12,5-2,30-8,33-11,13-6,17-2,13-5,20-6,38-10,25-9,6-6,40-4,8-1,13-3,11-3,11-4,12-4,8-4
3,Chicago Bulls,57-25,29-12,26-12,2-1,28-9,29-16,12-7,16-2,12-6,17-10,32-14,25-11,6-8,37-10,5-2,10-4,12-4,11-5,12-6,7-4
4,Boston Celtics,56-26,32-9,21-16,3-1,30-8,26-18,15-3,15-5,12-8,14-10,32-16,24-10,6-2,31-13,6-2,8-7,13-3,10-6,10-5,9-3
5,Golden State Warriors,51-31,27-8,21-20,3-3,25-13,26-18,12-7,13-6,12-8,14-10,27-19,24-12,10-7,23-18,6-3,10-6,4-10,13-1,10-6,8-5
6,Phoenix Suns,49-33,30-11,19-20,0-2,25-13,24-20,15-4,10-9,7-11,17-9,27-21,22-12,7-10,33-11,3-4,8-7,11-5,9-8,11-5,7-4
7,New York Knicks,48-34,27-14,20-19,1-1,23-15,25-19,11-7,12-8,10-10,15-9,26-19,22-15,14-5,25-12,5-5,8-5,10-4,7-7,12-5,6-8
8,Seattle SuperSonics,47-35,28-12,18-22,1-1,26-12,21-23,10-9,16-3,9-11,12-12,29-19,18-16,10-5,23-17,7-2,8-7,7-9,9-5,12-3,4-9
9,Baltimore Bullets,38-44,18-15,16-24,4-5,20-18,18-26,11-9,9-9,8-12,10-14,20-25,18-19,6-7,19-23,3-6,7-7,5-9,9-5,5-12,9-5
10,Atlanta Hawks,36-46,22-19,13-26,1-1,19-19,17-27,10-10,9-9,8-12,9-15,17-30,19-16,11-7,17-21,3-6,2-11,8-8,7-8,7-8,9-5
11,Houston Rockets,34-48,15-20,14-23,5-5,20-17,14-31,8-11,12-6,5-16,9-15,16-30,18-18,9-12,18-22,2-8,4-10,8-7,5-9,8-6,7-8
12,Cincinnati Royals,30-52,20-18,8-32,2-2,20-20,10-32,9-11,11-9,5-14,5-18,14-31,16-21,5-6,17-30,1-6,7-6,2-14,6-9,6-12,8-5
13,Philadelphia 76ers,30-52,14-23,14-26,2-3,15-23,15-29,6-12,9-11,7-13,8-16,20-28,10-24,3-11,14-23,7-2,4-10,4-12,7-7,4-10,4-11
14,Detroit Pistons,26-56,16-25,9-30,1-1,16-24,10-32,6-15,10-9,4-14,6-18,17-30,9-26,8-8,8-36,6-4,3-9,5-11,4-11,5-11,3-10
15,Cleveland Cavaliers,23-59,13-28,8-30,2-1,15-29,8-30,6-18,9-11,1-15,7-15,15-32,8-27,7-10,4-39,2-8,6-6,7-10,1-13,4-12,3-10
16,Buffalo Braves,22-60,13-27,8-31,1-2,16-26,6-34,4-14,12-12,3-15,3-19,14-31,8-29,8-7,6-41,3-7,5-7,4-10,3-11,3-14,4-11
17,Portland Trail Blazers,18-64,14-26,4-35,0-3,12-24,6-40,7-11,5-13,2-20,4-20,12-37,6-27,7-11,4-45,1-5,2-14,5-13,4-11,3-14,3-7
