,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Boston Celtics,58-22,25-5,21-16,12-1,25-11,33-11,28-14,30-8,8-7,35-6,4-1,11-4,9-5,14-6,13-5,7-1
2,Los Angeles Lakers,53-27,27-7,20-17,6-3,20-14,33-13,34-11,19-16,12-6,18-12,3-4,12-3,11-4,15-1,9-8,3-7
3,St. Louis Hawks,48-32,30-7,13-18,5-7,19-15,29-17,29-18,19-14,12-5,20-16,5-2,10-6,9-7,9-7,8-6,7-4
4,Syracuse Nationals,48-32,23-5,13-19,12-8,21-15,27-17,24-19,24-13,5-2,30-14,4-1,9-5,6-9,9-8,14-6,6-3
5,Cincinnati Royals,42-38,23-10,15-19,4-9,20-16,22-22,23-22,19-16,7-16,21-9,3-2,10-6,6-8,9-9,9-9,5-4
6,Detroit Pistons,34-46,14-16,8-19,12-11,15-19,19-27,19-28,15-18,10-5,6-29,0-6,4-10,9-9,8-7,8-10,5-4
7,San Francisco Warriors,31-49,13-20,11-25,7-4,13-21,18-28,17-27,14-22,8-8,10-17,4-1,4-11,7-9,4-13,7-9,5-6
8,Chicago Zephyrs,25-55,17-17,3-23,5-15,12-28,13-27,15-32,10-23,6-15,10-23,2-4,4-12,7-11,5-11,3-12,4-5
9,New York Knicks,21-59,12-22,5-28,4-9,6-30,15-29,14-32,7-27,3-7,10-34,2-6,4-11,6-8,3-14,5-11,1-9
