,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Boston Celtics,44-28,24-4,11-18,9-6,20-16,24-12,23-14,21-14,7-12,28-8,1-0,10-3,9-7,11-6,10-7,3-5
2,Syracuse Nationals,38-34,23-9,9-15,6-10,20-16,18-18,15-20,23-14,13-3,14-14,2-0,2-10,6-7,13-7,11-6,4-4
3,Philadelphia Warriors,37-35,20-5,5-25,12-5,17-19,20-16,21-18,16-17,9-12,18-15,0-1,7-8,9-5,9-10,9-5,3-6
4,New York Knicks,36-36,18-10,9-20,9-6,15-21,21-15,19-18,17-18,9-12,15-13,0-1,5-7,9-7,11-8,7-10,4-3
5,Fort Wayne Pistons,34-38,23-5,5-23,6-10,17-19,17-19,19-18,15-20,9-7,10-22,1-1,7-7,7-7,9-7,8-11,2-5
6,Minneapolis Lakers,34-38,15-9,5-21,14-8,16-20,18-18,18-21,16-17,6-10,12-18,0-2,8-6,6-10,6-10,7-10,7-0
7,St. Louis Hawks,34-38,17-9,10-20,7-9,12-24,22-14,15-21,19-17,12-12,12-14,1-0,7-6,6-9,8-10,8-10,4-3
8,Rochester Royals,31-41,19-10,7-17,5-14,16-20,15-21,20-20,11-21,13-10,9-14,1-1,9-8,7-7,3-12,8-9,3-4
