,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Philadelphia 76ers,68-13,28-2,26-8,14-3,28-8,40-5,39-4,29-9,7-2,39-6,5-0,15-2,15-1,12-3,11-4,10-3
2,Boston Celtics,60-21,27-4,25-11,8-6,30-6,30-15,28-11,32-10,9-10,37-5,4-1,11-3,12-4,13-4,10-5,10-4
3,San Francisco Warriors,44-37,18-10,11-19,15-8,20-25,24-12,27-14,17-23,10-10,26-14,4-3,11-5,9-5,10-7,6-9,4-8
4,Cincinnati Royals,39-42,20-11,12-24,7-7,14-22,25-20,15-23,24-19,8-9,16-20,2-4,7-7,4-11,10-5,8-12,8-3
5,St. Louis Hawks,39-42,18-11,12-21,9-10,18-27,21-15,18-21,21-21,18-12,11-22,3-3,6-7,6-9,9-11,8-8,7-4
6,Los Angeles Lakers,36-45,21-18,12-20,3-7,22-23,14-22,16-25,20-20,9-17,22-17,2-6,6-8,5-9,8-9,10-6,5-7
7,New York Knicks,36-45,20-15,9-24,7-6,11-25,25-20,23-21,13-24,14-7,13-22,4-3,8-9,8-7,6-11,9-7,1-8
8,Chicago Bulls,33-48,17-19,9-17,7-12,16-29,17-19,17-28,16-20,7-8,10-26,4-4,4-13,7-8,7-10,3-9,8-4
9,Detroit Pistons,30-51,12-18,9-19,9-14,16-29,14-22,17-25,13-26,12-10,7-25,5-3,6-10,4-9,5-11,7-9,3-9
10,Baltimore Bullets,20-61,12-20,3-30,5-11,7-29,13-32,8-36,12-25,2-11,9-33,1-7,3-13,4-11,4-13,6-9,2-8
