,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,New York Knicks,60-22,30-11,27-10,3-1,28-12,32-10,38-11,22-11,8-4,39-7,9-1,14-1,10-5,12-4,9-4,6-7
2,Milwaukee Bucks,56-26,27-11,24-14,5-1,27-13,29-13,33-16,23-10,6-6,34-16,6-3,8-8,12-3,13-3,10-5,7-4
3,Baltimore Bullets,50-32,25-12,19-18,6-2,21-19,29-13,30-19,20-13,9-11,20-10,4-4,12-3,8-8,10-7,9-6,7-4
4,Atlanta Hawks,48-34,25-13,18-16,5-5,24-18,24-16,31-21,17-13,8-6,24-21,4-3,12-5,10-6,6-11,8-7,8-2
5,Los Angeles Lakers,46-36,27-14,17-21,2-1,22-20,24-16,22-24,24-12,7-7,26-14,5-2,6-10,6-8,12-4,9-9,8-3
6,Philadelphia 76ers,42-40,22-16,16-22,4-2,20-20,22-20,26-23,16-17,3-8,30-12,4-2,6-11,11-6,8-7,7-8,6-6
7,Chicago Bulls,39-43,23-10,9-25,7-8,17-25,22-18,24-27,15-16,11-6,13-21,5-3,8-8,4-12,8-10,7-7,7-3
8,Phoenix Suns,39-43,22-15,12-25,5-3,15-27,24-16,21-29,18-14,10-9,14-23,3-5,5-10,7-8,9-10,9-7,6-3
9,Cincinnati Royals,36-46,19-13,14-25,3-8,18-22,18-24,22-28,14-18,12-7,12-25,2-6,8-7,9-8,7-10,5-8,5-7
10,Seattle SuperSonics,36-46,22-14,10-26,4-6,22-20,14-26,18-31,18-15,10-12,10-18,1-6,5-10,8-9,6-10,11-6,5-5
11,Boston Celtics,34-48,16-21,13-27,5-0,16-24,18-24,20-27,14-21,8-10,13-20,2-4,5-11,8-7,7-10,8-7,4-9
12,Detroit Pistons,31-51,18-20,10-25,3-6,10-30,21-21,18-31,13-20,9-8,10-24,2-4,6-9,5-12,8-10,7-10,3-6
13,San Francisco Warriors,30-52,16-20,14-26,0-6,15-27,15-25,21-27,9-25,7-7,9-28,3-2,8-9,7-9,5-11,4-12,3-9
14,San Diego Rockets,27-55,21-17,4-33,2-5,10-32,17-23,18-28,9-27,4-11,13-28,1-6,7-8,7-11,4-8,4-11,4-11
