,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Minneapolis Lakers,44-24,29-3,12-21,3-0,20-12,24-12,39-21,5-3,5-6,29-10,,7-6,10-6,13-3,9-5,5-4
2,Rochester Royals,41-27,29-5,12-22,,23-12,18-15,34-25,7-2,4-6,21-10,1-0,5-7,12-3,9-8,7-7,7-2
3,Philadelphia Warriors,40-26,29-4,10-21,1-1,22-14,18-12,34-25,6-1,7-4,24-10,,8-3,6-8,9-7,10-7,7-1
4,Boston Celtics,39-30,25-5,10-23,4-2,21-19,18-11,35-25,4-5,10-6,12-12,,10-7,7-6,9-5,9-6,4-6
5,New York Knicks,36-30,22-5,10-25,4-0,21-15,15-15,33-25,3-5,8-6,14-15,,8-7,8-6,8-5,8-7,4-5
6,Fort Wayne Pistons,32-36,27-7,5-27,0-2,14-20,18-16,28-31,4-5,5-5,13-21,,9-7,6-8,7-9,6-6,4-6
7,Syracuse Nationals,32-34,23-10,9-24,,19-17,13-17,29-28,3-6,8-10,17-12,,7-7,7-7,7-7,7-7,4-6
8,Indianapolis Olympians,31-37,19-12,10-24,2-1,16-17,15-20,26-32,5-5,10-7,12-19,,8-7,6-8,6-9,6-8,5-5
9,Tri-Cities Blackhawks,25-43,22-13,2-28,1-2,13-19,12-24,23-38,2-5,5-7,11-21,,8-8,6-8,3-14,6-8,2-5
10,Baltimore Bullets,24-42,20-12,4-24,0-6,12-24,12-18,22-38,2-4,2-5,12-25,,5-11,5-7,7-8,5-12,2-4
11,Washington Capitols,10-25,7-11,3-13,0-1,6-12,4-13,10-25,,0-2,4-14,0-1,6-11,3-9,1-4,,
