,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Boston Celtics,59-21,26-4,21-17,12-0,25-11,34-10,28-9,31-12,5-7,38-7,4-0,11-1,10-4,11-8,15-6,8-2
2,Cincinnati Royals,55-25,26-7,18-18,11-0,27-9,28-16,30-15,25-10,11-4,29-10,5-3,10-6,9-4,11-6,14-3,6-3
3,San Francisco Warriors,48-32,25-14,21-15,2-3,19-15,29-17,22-18,26-14,8-10,27-9,3-2,6-8,9-6,11-7,13-5,6-4
4,St. Louis Hawks,46-34,27-12,17-19,2-3,16-18,30-16,25-20,21-14,9-5,18-12,5-2,8-8,8-8,9-6,9-6,7-4
5,Los Angeles Lakers,42-38,24-12,15-21,3-5,18-16,24-22,26-15,16-23,7-11,21-15,3-2,10-6,10-5,8-9,5-13,6-3
6,Philadelphia 76ers,34-46,18-12,12-22,4-12,13-23,21-23,20-21,14-25,8-6,13-31,2-3,6-7,8-7,7-11,7-10,4-8
7,Baltimore Bullets,31-49,20-19,8-21,3-9,15-25,16-24,14-27,17-22,9-15,13-22,2-5,3-7,6-10,10-8,8-9,2-10
8,Detroit Pistons,23-57,9-21,6-25,8-11,10-24,13-33,9-28,14-29,10-6,6-32,1-4,4-10,3-9,5-13,5-15,5-6
9,New York Knicks,22-58,10-25,8-27,4-6,7-29,15-29,13-34,9-24,5-8,7-34,2-6,5-10,3-13,7-11,3-12,2-6
