,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Boston Celtics,60-20,23-5,26-12,11-3,26-10,34-10,34-8,26-12,4-5,41-9,2-0,12-3,15-2,10-8,15-5,6-2
2,Los Angeles Lakers,54-26,26-5,18-13,10-8,21-13,33-13,33-13,21-13,14-3,18-12,5-1,10-5,15-5,11-4,9-8,4-3
3,Philadelphia Warriors,49-31,18-11,18-19,13-1,18-18,31-13,26-20,23-11,6-5,27-15,3-2,8-6,12-6,11-8,12-7,3-2
4,Cincinnati Royals,43-37,18-13,14-16,11-8,14-20,29-17,26-21,17-16,5-5,24-15,2-3,11-7,7-8,11-5,9-11,3-3
5,Syracuse Nationals,41-39,18-10,11-19,12-10,17-19,24-20,22-23,19-16,4-7,28-14,3-3,6-7,5-12,11-8,11-6,5-3
6,Detroit Pistons,37-43,16-14,8-17,13-12,13-21,24-22,20-25,17-18,7-6,8-21,0-4,8-6,7-10,9-11,9-7,4-5
7,New York Knicks,29-51,19-14,2-23,8-14,11-25,18-26,15-28,14-23,6-9,13-33,4-2,3-12,5-11,7-9,8-11,2-6
8,St. Louis Hawks,29-51,19-16,7-27,3-8,13-21,16-30,15-31,14-20,6-11,13-26,2-4,5-9,6-11,8-10,3-13,5-4
9,Chicago Packers,18-62,9-19,3-20,6-23,8-32,10-30,9-31,9-31,4-5,8-35,1-3,2-10,5-12,2-17,6-14,2-6
