,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Boston Celtics,52-20,26-4,13-15,13-1,23-13,29-7,32-13,20-7,11-5,28-5,0-1,10-4,13-4,13-4,13-4,3-3
2,St. Louis Hawks,49-23,28-3,14-15,7-5,22-14,27-9,31-12,18-11,8-4,26-10,2-1,9-4,11-4,13-4,10-7,4-3
3,New York Knicks,40-32,21-9,15-15,4-8,19-17,21-15,26-18,14-14,11-5,17-15,2-0,9-4,8-8,9-8,9-9,3-3
4,Syracuse Nationals,35-37,19-12,12-17,4-8,16-20,19-17,22-21,13-16,4-17,20-7,1-1,6-9,7-7,11-7,6-10,4-3
5,Minneapolis Lakers,33-39,15-7,9-17,9-15,15-21,18-18,17-28,16-11,9-6,16-16,2-2,7-9,3-9,7-11,10-5,4-3
6,Philadelphia Warriors,32-40,17-9,7-24,8-7,14-22,18-18,18-25,14-15,7-8,10-24,1-1,7-7,5-10,8-10,6-9,5-3
7,Detroit Pistons,28-44,13-17,8-20,7-7,11-25,17-19,19-25,9-19,5-8,12-16,2-3,7-7,7-6,4-14,5-10,3-4
8,Cincinnati Royals,19-53,9-19,2-25,8-9,9-27,10-26,11-34,8-19,4-6,4-40,1-2,2-13,4-10,6-13,5-10,1-5
