,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Boston Celtics,57-22,21-7,24-11,12-4,28-11,29-11,32-13,25-9,12-7,34-10,2-1,12-2,10-8,14-5,12-5,7-1
2,St. Louis Hawks,51-28,29-5,15-20,7-3,26-14,25-14,28-15,23-13,13-5,26-17,3-1,9-5,12-4,10-8,11-9,6-1
3,Philadelphia Warriors,46-33,23-6,12-21,11-6,22-17,24-16,28-15,18-18,14-10,15-13,3-0,11-6,9-6,8-9,12-8,3-4
4,Syracuse Nationals,38-41,19-9,8-21,11-11,18-21,20-20,19-24,19-17,8-10,24-16,1-3,5-7,8-8,10-9,12-6,2-8
5,Los Angeles Lakers,36-43,16-12,8-20,12-11,17-23,19-20,19-28,17-15,6-12,18-16,1-5,10-6,4-12,8-9,9-8,4-3
6,Detroit Pistons,34-45,20-11,3-19,11-15,16-24,18-21,18-26,16-19,8-10,14-20,2-1,5-11,7-7,11-10,5-12,4-4
7,Cincinnati Royals,33-46,18-13,8-19,7-14,17-23,16-23,22-28,11-18,9-10,8-25,5-2,4-13,9-8,6-12,6-9,3-2
8,New York Knicks,21-58,10-22,7-25,4-11,10-29,11-29,14-31,7-27,6-12,7-29,1-5,4-10,5-11,6-11,4-14,1-7
