,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Minneapolis Lakers,48-22,24-2,16-15,8-5,22-8,26-14,28-9,20-13,4-4,27-10,,12-4,11-3,9-6,11-5,5-4
2,New York Knicks,47-23,22-4,15-14,10-5,30-10,17-13,23-12,24-11,4-6,25-11,,9-4,10-5,11-5,12-5,5-4
3,Syracuse Nationals,47-24,32-2,10-20,5-2,26-15,21-9,24-12,23-12,4-4,29-12,,9-4,9-7,11-4,10-6,8-3
4,Boston Celtics,46-25,21-3,11-18,14-4,28-13,18-12,25-13,21-12,11-2,21-13,1-0,8-5,10-6,10-8,10-4,7-2
5,Rochester Royals,44-26,24-8,13-17,7-1,17-13,27-13,25-12,19-14,13-9,20-10,,11-4,11-4,7-9,10-5,5-4
6,Fort Wayne Pistons,36-33,25-9,8-19,3-5,18-11,18-22,18-17,18-16,9-6,16-18,,6-8,10-5,7-10,8-5,5-5
7,Indianapolis Olympians,28-43,19-14,4-23,5-6,13-17,15-26,13-26,15-17,7-10,10-19,0-1,5-11,7-10,6-8,5-9,5-4
8,Milwaukee Hawks,27-44,14-8,3-24,10-12,12-18,15-26,10-26,17-18,13-12,9-15,,5-11,3-10,9-9,7-8,3-6
9,Baltimore Bullets,16-54,11-20,1-19,4-15,10-30,6-24,9-24,7-30,4-11,7-27,,4-11,1-10,7-8,2-17,2-8
10,Philadelphia Warriors,12-57,5-12,1-28,6-17,7-33,5-24,6-30,6-27,6-11,2-31,,4-11,1-13,1-11,3-14,3-8
