,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Boston Celtics,62-18,27-3,27-11,8-4,20-10,42-8,37-7,25-11,10-5,36-8,8-0,8-5,15-2,15-2,11-4,5-5
2,Los Angeles Lakers,49-31,25-13,21-16,3-2,24-16,25-15,23-18,26-13,11-10,19-13,4-2,10-4,7-9,10-6,9-6,9-4
3,Cincinnati Royals,48-32,25-7,17-21,6-4,16-14,32-18,29-13,19-19,8-10,21-12,4-2,9-7,10-3,11-7,7-7,7-6
4,St. Louis Hawks,45-35,26-14,15-17,4-4,17-23,28-12,22-20,23-15,10-10,21-11,3-3,8-6,8-7,7-10,9-8,10-1
5,Philadelphia 76ers,40-40,13-12,9-21,18-7,14-16,26-24,21-20,19-20,8-9,20-18,3-4,8-6,8-8,8-7,9-7,4-8
6,Baltimore Bullets,37-43,23-14,12-19,2-10,15-25,22-18,20-22,17-21,5-9,13-21,4-5,6-6,6-8,8-8,7-10,6-6
7,Detroit Pistons,31-49,13-17,11-20,7-12,13-27,18-22,16-29,15-20,14-6,9-22,2-6,5-8,7-10,8-10,7-7,2-8
8,New York Knicks,31-49,15-20,9-21,7-8,10-20,21-29,13-30,18-19,10-8,11-25,2-4,3-9,6-13,5-10,9-7,6-6
9,San Francisco Warriors,17-63,10-26,5-31,2-6,10-30,7-33,11-33,6-30,3-12,7-27,1-5,5-11,5-12,1-13,2-14,3-8
