,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Boston Celtics,59-16,25-2,23-9,11-5,28-11,31-5,36-10,23-6,7-4,37-9,3-0,12-4,15-0,11-7,15-4,3-1
2,Philadelphia Warriors,49-26,22-6,12-19,15-1,22-17,27-9,31-13,18-13,9-4,24-13,2-0,10-5,9-6,15-4,11-8,2-3
3,St. Louis Hawks,46-29,28-5,12-20,6-4,19-17,27-12,25-18,21-11,9-4,25-16,1-1,7-5,11-6,10-9,12-7,5-1
4,Syracuse Nationals,45-30,26-4,11-19,8-7,21-18,24-12,27-19,18-11,8-5,18-12,2-2,9-5,7-7,11-9,12-6,4-1
5,Detroit Pistons,30-45,17-14,6-21,7-10,10-26,20-19,18-28,12-17,7-10,15-25,2-2,8-9,3-11,8-10,6-10,3-3
6,New York Knicks,27-48,13-18,9-19,5-11,7-32,20-16,18-28,9-20,2-11,12-24,0-2,6-9,7-10,9-9,4-12,1-6
7,Minneapolis Lakers,25-50,9-13,9-22,7-15,8-28,17-22,13-30,12-20,5-9,12-27,1-3,5-11,5-10,3-9,7-14,4-3
8,Cincinnati Royals,19-56,9-22,2-20,8-14,5-31,14-25,14-36,5-20,6-6,9-26,2-3,3-12,5-12,4-14,5-11,0-4
