,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Philadelphia 76ers,55-25,22-3,20-17,13-5,20-10,35-15,25-15,30-10,6-8,25-10,3-0,9-8,9-5,13-4,10-7,11-1
2,Boston Celtics,54-26,26-5,19-18,9-3,19-11,35-15,27-11,27-15,12-5,29-14,3-3,11-2,10-4,10-7,12-7,8-3
3,Cincinnati Royals,45-35,25-6,11-23,9-6,16-14,29-21,28-14,17-21,9-10,19-13,4-4,11-2,8-7,11-4,7-10,4-8
4,Los Angeles Lakers,45-35,28-11,13-21,4-3,16-24,29-11,26-20,19-15,7-8,25-10,4-3,10-7,9-8,8-7,7-6,7-4
5,Baltimore Bullets,38-42,29-9,4-25,5-8,18-22,20-20,22-23,16-19,7-5,18-29,2-6,9-9,8-4,6-12,8-5,5-6
6,St. Louis Hawks,36-44,22-10,6-22,8-12,17-23,19-21,16-24,20-20,8-8,17-17,3-2,5-9,6-9,9-11,6-6,7-7
7,San Francisco Warriors,35-45,12-14,8-19,15-12,14-26,21-19,20-26,15-19,9-10,17-21,4-2,7-10,6-12,8-6,5-9,5-6
8,New York Knicks,30-50,20-14,4-30,6-6,5-25,25-25,14-26,16-24,9-14,11-20,3-4,4-11,5-7,4-12,11-5,3-11
9,Detroit Pistons,22-58,13-17,4-22,5-19,11-29,11-29,11-30,11-28,10-9,7-34,3-5,3-11,4-9,6-12,3-14,3-7
