,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Philadelphia 76ers,62-20,27-8,25-12,10-0,29-11,33-9,35-14,27-6,5-5,39-9,5-1,10-6,15-2,8-6,14-2,10-3
2,St. Louis Hawks,56-26,25-7,22-13,9-6,25-17,31-9,37-14,19-12,13-3,22-16,9-1,10-5,8-5,13-5,10-7,6-3
3,Boston Celtics,54-28,28-9,20-16,6-3,24-16,30-12,33-14,21-14,9-4,28-7,5-0,10-5,10-5,10-7,12-5,7-6
4,Los Angeles Lakers,52-30,30-11,18-19,4-0,24-18,28-12,25-22,27-8,7-7,30-11,5-2,7-8,10-7,7-7,13-3,10-3
5,New York Knicks,43-39,20-17,21-16,2-6,19-21,24-18,23-28,20-11,11-11,21-17,1-6,10-6,4-12,11-6,11-5,6-4
6,San Francisco Warriors,43-39,27-14,16-23,0-2,19-23,24-16,32-20,11-19,6-6,23-17,7-4,11-3,10-7,5-8,8-9,2-8
7,Detroit Pistons,40-42,21-11,12-23,7-8,15-25,25-17,26-25,14-17,11-5,18-24,3-3,10-7,8-9,6-9,3-11,10-3
8,Cincinnati Royals,39-43,18-12,13-23,8-8,18-22,21-21,24-23,15-20,10-10,16-24,5-3,4-8,7-9,9-7,7-12,7-4
9,Baltimore Bullets,36-46,17-19,12-23,7-4,15-25,21-21,17-30,19-16,5-12,17-19,3-4,5-7,6-9,8-11,9-8,5-7
10,Chicago Bulls,29-53,11-22,12-23,6-8,18-24,11-29,18-33,11-20,6-10,8-23,0-9,5-9,7-9,6-9,6-9,5-8
11,Seattle SuperSonics,23-59,9-19,7-24,7-16,8-34,15-25,14-38,9-21,4-8,11-34,2-6,5-11,4-14,5-7,4-10,3-11
12,San Diego Rockets,15-67,8-33,4-26,3-8,4-38,11-29,14-37,1-30,3-9,7-39,1-7,3-15,7-8,3-9,1-17,0-11
