,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Minneapolis Lakers,46-26,21-4,13-15,12-7,27-13,19-13,24-15,22-11,7-3,25-13,0-2,12-2,7-6,11-5,13-7,3-4
2,New York Knicks,44-28,18-8,15-13,11-7,24-16,20-12,28-12,16-16,14-4,12-13,1-0,12-3,7-7,12-5,6-11,6-2
3,Rochester Royals,44-28,18-10,12-15,14-3,22-18,22-10,22-17,22-11,9-10,21-9,1-0,7-8,9-4,9-7,10-7,8-2
4,Boston Celtics,42-30,17-6,10-19,15-5,25-15,17-15,23-19,19-11,7-6,24-14,,5-8,12-8,7-7,13-5,5-2
5,Syracuse Nationals,42-30,26-6,11-18,5-6,21-19,21-11,26-16,16-14,4-9,22-10,0-1,9-7,9-6,11-5,7-9,6-2
6,Fort Wayne Pistons,40-32,19-8,11-17,10-7,23-17,17-15,22-19,18-13,6-7,19-13,,9-7,8-6,9-8,10-5,4-6
7,Philadelphia Warriors,29-43,10-9,6-16,13-18,19-21,10-22,16-21,13-22,9-12,9-15,1-0,6-9,4-6,6-11,10-9,2-8
8,Milwaukee Hawks,21-51,10-14,6-17,5-20,15-25,6-26,9-31,12-20,8-6,7-27,1-0,3-11,3-11,4-13,6-11,4-5
9,Baltimore Bullets,16-56,12-19,0-21,4-16,11-29,5-27,10-30,6-26,2-9,5-30,0-1,3-11,4-9,5-13,3-14,1-8
